省,市,区,全名,别名,性质,等级
广东省,汕尾市,海丰,海丰县妇幼保健院,海丰县妇幼保健院,公立/综合医院,一级甲等
广东省,汕尾市,海丰,海丰县粤东医院,海丰县粤东医院,/综合医院,未知
广东省,汕尾市,海丰,海丰县中医院,海丰县中医院,公立/综合医院,未知
广东省,汕尾市,海丰,广东省梅陇农场职工医院,广东省梅陇农场职工医院,公立/综合医院,一级甲等
广东省,汕尾市,海丰,海丰县彭湃纪念医院,彭湃纪念医院,公立/综合医院,二级甲等
广东省,汕尾市,海丰,海丰县梅陇人民医院,海丰县梅陇人民医院,公立/综合医院,未知
广东省,汕尾市,海丰,武警边防粤东医院,武警边防粤东医院,公立/综合医院,一级甲等
广东省,汕尾市,海丰,海丰精神病康复医院,海丰精神病康复医院,公立/综合医院,未知
广东省,汕尾市,海丰,海丰县老区经济开发试验区人民医院,海丰县老区经济开发试验区人民医院,公立/综合医院,未知
广东省,汕尾市,海丰,海丰公平中心卫生院,海丰公平中心卫生院,公立/综合医院,一级甲等
广东省,汕尾市,海丰,海丰县海城镇卫生院,海丰县海城镇卫生院,公立/综合医院,未知
广东省,汕尾市,海丰,海丰县赤坑镇中心卫生院,海丰县赤坑镇中心卫生院,公立/综合医院,一级医院
广东省,汕尾市,海丰,海丰县可塘镇卫生院,海丰县可塘镇卫生院,公立/综合医院,未知
广东省,汕尾市,海丰,海丰县鹅埠镇卫生院,海丰县鹅埠镇卫生院,公立/综合医院,未知
广东省,汕尾市,海丰,海丰县大湖镇卫生院,海丰县大湖镇卫生院,公立/综合医院,未知
广东省,汕尾市,海丰,汕尾市后门镇中心卫生院,汕尾市后门镇中心卫生院,公立/综合医院,一级医院
