省,市,区,全名,别名,性质,等级
广东省,中山市,石岐区,中山玛丽亚妇产医院,中山玛丽亚妇产医院,民营/专科医院,民营医院
广东省,中山市,石岐区,中山市岐江医院,中山市岐江医院,公立/综合医院,未知
广东省,中山市,石岐区,中山市人民医院东区分院,中山市人民医院东区分院,公立/综合医院,一级甲等
广东省,中山市,石岐区,中山市苏华赞医院,中山市苏华赞医院,公立/综合医院,一级甲等
广东省,中山市,石岐区,中山市陈亨村医院,中山市陈亨村医院,公立/综合医院,未知
广东省,中山市,石岐区,中山现美医疗美容门诊部,中山现美医疗美容门诊部,民营/其他,未知
广东省,中山市,石岐区,中山市中小学卫生保健所,中山市中小学卫生保健所,其他/其他,未知
广东省,中山市,石岐区,中山康怡医疗保健中心,中山康怡医疗保健中心,民营/其他,未知
广东省,中山市,石岐区,张志渝中医诊所,张志渝中医诊所,民营/其他,未知
广东省,中山市,石岐区,梁添根中医诊所,梁添根中医诊所,民营/其他,未知
广东省,中山市,石岐区,中山市石岐区莲兴天愈堂药店莲兴路中医坐堂医诊所,中山市石岐区莲兴天愈堂药店莲兴路中医坐堂医诊所,民营/其他,未知
广东省,中山市,石岐区,石岐区东港湾社区卫生服务站,石岐区东港湾社区卫生服务站,其他/其他,未知
广东省,中山市,石岐区,中山华都肛肠医院,中山华都肛肠医院,民营/专科医院,未知
广东省,中山市,石岐区,中山东方泌尿专科医院,中山东方泌尿专科医院,民营/其他,未知
广东省,中山市,石岐区,顺景诊所,顺景诊所,公立/其他,未知
广东省,中山市,石岐区,季远翔皮肤科诊所,季远翔皮肤科诊所,民营/其他,未知
广东省,中山市,石岐区,中山爱思特美容医院,中山爱思特美容医院,民营/专科医院,未知
广东省,中山市,石岐区,中山美南华美容医院,中山美南华美容医院,民营/专科医院,未知
广东省,中山市,石岐区,建辉口腔诊所,建辉口腔诊所,民营/其他,未知
广东省,中山市,石岐区,建方牙科,建方牙科,民营/其他,未知
广东省,中山市,石岐区,周皓牙科诊所,周皓牙科诊所,民营/其他,未知
广东省,中山市,石岐区,徐博口腔诊所,徐博口腔诊所,民营/其他,未知
广东省,中山市,石岐区,朱效山口腔诊所,朱效山口腔诊所,民营/其他,未知
广东省,中山市,石岐区,张治盘口腔诊所,张治盘口腔诊所,民营/其他,未知
广东省,中山市,石岐区,孟维口腔诊所,孟维口腔诊所,其他/其他,未知
广东省,中山市,石岐区,中山现代妇科医院,中山现代医院,民营/专科医院,未知
广东省,中山市,石岐区,中山健民医院,健民门诊部,民营/未知,未知
