省,市,区,全名,别名,性质,等级
广东省,中山市,南头,中山市南头镇社区卫生服务中心,中山市南头镇社区卫生服务中心,民营/综合医院,未知
广东省,中山市,南头,南头镇民安社区卫生服务站,南头镇民安社区卫生服务站,民营/综合医院,未知
广东省,中山市,南头,中山市广济医院,中山市广济医院,民营/综合医院,未知
广东省,中山市,南头,中山市南头医院,中山市南头医院,公立/综合医院,二级甲等
广东省,中山市,南头,中山市南头镇穗西村卫生站,中山市南头镇穗西村卫生站,其他/其他,未知
广东省,中山市,南头,中山市南头镇预防保健管理所,中山市南头镇预防保健管理所,公立/其他,未知
广东省,中山市,南头,黄汉祥内科诊所,黄汉祥内科诊所,民营/其他,未知
广东省,中山市,南头,杨萍内科诊所,杨萍内科诊所,民营/其他,未知
广东省,中山市,南头,苏兆源个体诊所,苏兆源个体诊所,民营/其他,未知
广东省,中山市,南头,邱铜钟口腔诊所,邱铜钟口腔诊所,民营/其他,未知
广东省,中山市,南头,永春口腔诊所,永春口腔诊所,民营/其他,未知
广东省,中山市,南头,吴清云口腔诊所,吴清云口腔诊所,民营/其他,未知
