省,市,区,全名,别名,性质,等级
广东省,中山市,东凤,中山子其中医门诊部,中山子其中医门诊部,民营/其他,未知
广东省,中山市,东凤,中山市东凤镇东兴社区卫生服务站,中山市东凤镇东兴社区卫生服务站,民营/其他,未知
广东省,中山市,东凤,中山市东凤医院美的工业园医务室,中山市东凤医院美的工业园医务室,其他/其他,未知
广东省,中山市,东凤,东凤镇横沥社区卫生服务站,东凤镇横沥社区卫生服务站,公立/其他,未知
广东省,中山市,东凤,东凤镇永益社区卫生服务站,东凤镇永益社区卫生服务站,公立/其他,未知
广东省,中山市,东凤,东凤镇西罟社区卫生服务站,东凤镇西罟社区卫生服务站,公立/其他,未知
广东省,中山市,东凤,东凤镇吉昌社区卫生服务站,东凤镇吉昌社区卫生服务站,公立/其他,未知
广东省,中山市,东凤,东凤镇和平社区卫生服务站,东凤镇和平社区卫生服务站,公立/其他,未知
广东省,中山市,东凤,东凤镇穗成社区卫生服务站,东凤镇穗成社区卫生服务站,公立/其他,未知
广东省,中山市,东凤,东凤镇和泰社区卫生服务站,东凤镇和泰社区卫生服务站,公立/其他,未知
广东省,中山市,东凤,东凤镇小沥社区卫生服务站,东凤镇小沥社区卫生服务站,公立/其他,未知
广东省,中山市,东凤,东凤镇民乐社区卫生服务站,东凤镇民乐社区卫生服务站,公立/其他,未知
广东省,中山市,东凤,东凤镇伯公社区卫生服务站,东凤镇伯公社区卫生服务站,公立/其他,未知
广东省,中山市,东凤,东凤镇安乐社区卫生服务站,东凤镇安乐社区卫生服务站,公立/其他,未知
广东省,中山市,东凤,东凤镇同安社区卫生服务站,东凤镇同安社区卫生服务站,公立/其他,未知
广东省,中山市,东凤,陈秀珠口腔诊所,陈秀珠口腔诊所,民营/其他,未知
广东省,中山市,东凤,中山东凤云智口腔门诊部,中山东凤云智口腔门诊部,民营/门诊,未知
广东省,中山市,东凤,中山市东凤人民医院,南头卫生院东凤分院,公立/综合医院,二级甲等
