省,市,区,全名,别名,性质,等级
广东省,中山市,三乡,中山市三乡镇大布村卫生站,中山市三乡镇大布村卫生站,民营/综合医院,未知
广东省,中山市,三乡,三乡镇新墟社区卫生服务站,三乡镇新墟社区卫生服务站,民营/综合医院,未知
广东省,中山市,三乡,三乡镇白石环村麻斗卫生站,三乡镇白石环村麻斗卫生站,民营/综合医院,未知
广东省,中山市,三乡,中山市宝元制鞋厂职工医院,中山市宝元制鞋厂职工医院,民营/综合医院,未知
广东省,中山市,三乡,中山市三乡医院,中山市三乡医院,公立/综合医院,一级甲等
广东省,中山市,三乡,三乡镇社区卫生服务中心,三乡镇社区卫生服务中心,其他/其他,未知
广东省,中山市,三乡,余伟岳中医诊所,余伟岳中医诊所,民营/其他,未知
广东省,中山市,三乡,中山都市妇科门诊部,中山都市妇科门诊部,民营/门诊,未知
广东省,中山市,三乡,中山市三乡医院白石分院,中山市三乡医院白石分院,公立/综合医院,未知
广东省,中山市,三乡,中山三乡银樑门诊部,中山三乡银樑门诊部,民营/门诊,未知
广东省,中山市,三乡,中山三乡皮连中诊所,中山三乡皮连中诊所,民营/其他,未知
广东省,中山市,三乡,刘碧梅口腔诊所,刘碧梅口腔诊所,民营/其他,未知
广东省,中山市,三乡,三乡雅康牙科诊所,三乡雅康牙科诊所,民营/其他,未知
广东省,中山市,三乡,陈峰口腔诊所,陈峰口腔诊所,民营/其他,未知
广东省,中山市,三乡,文基口腔诊所,文基口腔诊所,民营/其他,未知
广东省,中山市,三乡,中山市三乡医院,中山市三乡医院,公立/综合医院,二级甲等
