省,市,区,全名,别名,性质,等级
广东省,中山市,火炬开发区,中山国丹中医院,中山国丹中医院,民营/综合医院,二级甲等
广东省,中山市,火炬开发区,中山市东凤医院,中山市东凤医院,公立/综合医院,一级甲等
广东省,中山市,火炬开发区,中山市火炬开发区医院,中山市火炬开发区医院,公立/综合医院,二级甲等
广东省,中山市,火炬开发区,中山火炬开发区海滨社区卫生服务中心,中山火炬开发区海滨社区卫生服务中心,其他/其他,未知
广东省,中山市,火炬开发区,火炬开发区马安村卫生站,火炬开发区马安村卫生站,其他/其他,未知
广东省,中山市,火炬开发区,火炬开发区五星村卫生站,火炬开发区五星村卫生站,其他/其他,未知
广东省,中山市,火炬开发区,中山火炬开发区东利村卫生站,中山火炬开发区东利村卫生站,其他/其他,未知
广东省,中山市,火炬开发区,中山火炬开发区大岭村卫生站,中山火炬开发区大岭村卫生站,其他/其他,未知
广东省,中山市,火炬开发区,火炬开发区陵岗村卫生站,火炬开发区陵岗村卫生站,其他/其他,未知
广东省,中山市,火炬开发区,火炬开发区濠四村卫生站,火炬开发区濠四村卫生站,其他/其他,未知
广东省,中山市,火炬开发区,中山仁康翠杰中医诊所,中山仁康翠杰中医诊所,民营/其他,未知
广东省,中山市,火炬开发区,中山港华门诊部,中山港华门诊部,民营/门诊,未知
广东省,中山市,火炬开发区,中山仁济门诊部,中山仁济门诊部,民营/门诊,未知
广东省,中山市,火炬开发区,中山诚康门诊部,中山诚康门诊部,民营/门诊,未知
广东省,中山市,火炬开发区,中山火炬开发区张家边社区卫生服务站,中山火炬开发区张家边社区卫生服务站,其他/其他,未知
广东省,中山市,火炬开发区,中山火炬开发区凯茵新城社区卫生服务站,中山火炬开发区凯茵新城社区卫生服务站,其他/其他,未知
广东省,中山市,火炬开发区,火炬开发区加工区社区卫生服务站,火炬开发区加工区社区卫生服务站,公立/其他,未知
广东省,中山市,火炬开发区,火炬开发区健康花城社区卫生服务站,火炬开发区健康花城社区卫生服务站,公立/其他,未知
广东省,中山市,火炬开发区,中山火炬开发区城东社区卫生服务站,中山火炬开发区城东社区卫生服务站,公立/其他,未知
广东省,中山市,火炬开发区,火炬开发区沙边社区卫生服务站,火炬开发区沙边社区卫生服务站,公立/其他,未知
广东省,中山市,火炬开发区,火炬开发区信息科技园社区卫生服务站,火炬开发区信息科技园社区卫生服务站,公立/其他,未知
广东省,中山市,火炬开发区,中山火炬高技术产业开发区社区卫生服务中心,中山火炬高技术产业开发区社区卫生服务中心,其他/其他,未知
广东省,中山市,火炬开发区,中山源田骨科医院,中山源田骨科医院,民营/专科医院,未知
广东省,中山市,火炬开发区,中山玛丽妇科门诊部,中山玛丽妇科门诊部,民营/专科医院,未知
广东省,中山市,火炬开发区,黄振华口腔诊所,黄振华口腔诊所,民营/其他,未知
广东省,中山市,火炬开发区,黄跃君口腔诊所,黄跃君口腔诊所,民营/其他,未知
广东省,中山市,火炬开发区,杨秋良口腔诊所,杨秋良口腔诊所,民营/其他,未知
广东省,中山市,火炬开发区,张苓口腔诊所,张苓口腔诊所,民营/其他,未知
广东省,中山市,火炬开发区,徐积燕口腔诊所,徐积燕口腔诊所,民营/其他,未知
广东省,中山市,火炬开发区,中山火炬开发区医院,中山火炬开发区医院,公立/综合医院,二级甲等
