省,市,区,全名,别名,性质,等级
广东省,江门市,蓬江,江门市残联康复医院,江门市残联康复医院,公立/综合医院,二级甲等
广东省,江门市,蓬江,福康门诊部,江门福康男科医院,民营/专科医院,未评级
广东省,江门市,蓬江,蓬江区北街社区卫生服务中心,蓬江区北街社区卫生服务中心,其他/其他,未知
广东省,江门市,蓬江,江门市第三人民医院,江门市第三人民医院,公立/综合医院,三级乙等
广东省,江门市,蓬江,江门市中心医院,江门市中心医院,公立/综合医院,三级甲等　　
广东省,江门市,蓬江,江门市五邑中医院,江门市五邑中医院,公立/综合医院,三级甲等　　
广东省,江门市,蓬江,江门市口腔医院,江门市口腔医院,公立/专科医院,二级乙等
广东省,江门市,蓬江,江门市第二人民医院,江门市第二人民医院,公立/综合医院,二级甲等
广东省,江门市,蓬江,江门市白石正骨医院,江门市白石正骨医院,公立/专科医院,一级甲等
广东省,江门市,蓬江,江门市妇幼保健院,江门市妇幼保健院,公立/专科医院,二级甲等
广东省,江门市,蓬江,江门市红十字会医院,江门市红十字会医院,公立/综合医院,二级甲等
广东省,江门市,蓬江,江门市人民医院,江门市人民医院,公立/综合医院,二级甲等
广东省,江门市,蓬江,江门侨都华美美容医院,江门华美整形,民营/专科医院,民营医院
广东省,江门市,蓬江,江门玛丽妇科医院,江门妇科医院,民营/专科医院,民营医院
