省,市,区,全名,别名,性质,等级
广东省,江门市,新会,江门市新会区司前镇中心卫生院,司前正骨医院,公立/综合医院,一级甲等
广东省,江门市,新会,江门市新会区皮肤病防治院,江门市新会区皮肤病防治院,公立/综合医院,二级甲等
广东省,江门市,新会,新会市东甲区产院,新会市东甲区产院,公立/综合医院,未知
广东省,江门市,新会,新会人民医院,新会人民医院,公立/综合医院,二级甲等
广东省,江门市,新会,新会市新希望眼科医院（民营）,新会市新希望眼科医院（民营）,个体户/眼科医院,未知
广东省,江门市,新会,江门市新会区前仁爱医院,江门市新会区前仁爱医院,民营/综合医院,未知
广东省,江门市,新会,新会市皮肤病防治院,新会市皮肤病防治院,公立/综合医院,未知
广东省,江门市,新会,新会市麻风病院,新会市麻风病院,民营/综合医院,未知
广东省,江门市,新会,新会市沙堤医院,新会市沙堤医院,公立/综合医院,未知
广东省,江门市,新会,新会市中医院,新会市中医院,公立/综合医院,未知
广东省,江门市,新会,新会市妇幼保健院,新会市妇幼保健院,公立/专科医院,二级甲等
广东省,江门市,新会,江门市新会区新希望眼科医院,江门市新会区新希望眼科医院,民营/专科医院,未知
广东省,江门市,新会,江门市新会区东甲区卫生站,江门市新会区东甲区卫生站,公立/综合医院,未知
广东省,江门市,新会,江门市新会区麻风病院,江门市新会区麻风病院,公立/专科医院,二级甲等
广东省,江门市,新会,江门市新会区沙堤医院,江门市新会区沙堤医院,公立/专科医院,二级甲等
广东省,江门市,新会,江门市新会区妇幼保健院,江门市新会区妇幼保健院,公立/专科医院,二级甲等
广东省,江门市,新会,江门市新会区中医院,江门市新会区中医院,公立/综合医院,二级甲等
广东省,江门市,新会,江门市新会区人民医院,江门市新会区人民医院,公立/综合医院,二级甲等
广东省,江门市,新会,江门市新会区东甲区产院,江门市新会区东甲区产院,公立/综合医院,未知
广东省,江门市,新会,新会市皮肤病防治院,新会市皮肤病防治院,公立/综合医院,未知
