省,市,区,全名,别名,性质,等级
广东省,清远市,清城,清远仁爱五官科医院,清远仁爱五官科医院,个体户/综合医院,一级甲等
广东省,清远市,清城,清城区石角医院,清城区石角医院,公立/综合医院,二级甲等
广东省,清远市,清城,清远现代妇科医院,清远妇科医院,民营/专科医院,民营医院
广东省,清远市,清城,清远市海月医药中心门诊,清远市海月医药中心门诊,公立/综合医院,未知
广东省,清远市,清城,清远清城区东城医院,清远清城区东城医院,公立/综合医院,未知
广东省,清远市,清城,清远市慢性病医院,清远市慢性病医院,公立/综合医院,一级甲等
广东省,清远市,清城,清远市新北江医院,清远市新北江医院,公立/综合医院,一级甲等
广东省,清远市,清城,清城区人民医院,清城区人民医院,公立/综合医院,二级乙等
广东省,清远市,清城,清远市广大康复医院,清远市广大康复医院,公立/综合医院,二级甲等
广东省,清远市,清城,清远市广清医院,清远市广清医院,公立/综合医院,二级甲等
广东省,清远市,清城,清远市妇幼保健院,清远市妇幼保健院,公立/综合医院,二级甲等
广东省,清远市,清城,清远市中医院,清远市中医院,公立/综合医院,二级甲等
广东省,清远市,清城,清远市人民医院,清远市人民医院,公立/综合医院,三级甲等　　
广东省,清远市,清城,清城区凤城社区卫生服务中心,清城区凤城社区卫生服务中心,其他/门诊,未知
广东省,清远市,清城,清城区残联康复医疗综合门诊部,清城区残联康复医疗综合门诊部,其他/门诊,未知
广东省,清远市,清城,清城区飞来峡镇江口卫生院,清城区飞来峡镇江口卫生院,其他/其他,未知
广东省,清远市,清城,清城区飞来峡镇高田卫生院,清城区飞来峡镇高田卫生院,其他/其他,未知
广东省,清远市,清城,清城区飞来峡镇卫生院,清城区飞来峡镇卫生院,其他/其他,未知
广东省,清远市,清城,清城区洲心医院,清城区洲心医院,其他/其他,未知
广东省,清远市,清城,清城区源潭医院,清城区源潭医院,其他/其他,未知
广东省,清远市,清城,清城区横荷医院,清城区横荷医院,其他/其他,未知
广东省,清远市,清城,横荷社区卫生服务中心,横荷社区卫生服务中心,其他/其他,未知
广东省,清远市,清城,清远生殖专科医院,清远最好男科、妇科医院,民营/专科医院,民营医院
广东省,清远市,清城,清远华美整形外科门诊部,清远华美整形美容医院,民营/专科医院,未评级
广东省,清远市,清城,清远美整形外科门诊部,清远美整形外科门诊部,民营/专科医院,民营医院
广东省,清远市,清城,清远养和医院,清远养和整形美容医院,公立/综合医院,民营医院
