省,市,区,全名,别名,性质,等级
广东省,清远市,连州,连州市三水医院,连州市三水医院,公立/综合医院,未知
广东省,清远市,连州,连州市大路边医院,连州市大路边医院,公立/综合医院,未知
广东省,清远市,连州,连州市清水医院,连州市清水医院,公立/综合医院,未知
广东省,清远市,连州,连州市朝天医院,连州市朝天医院,公立/综合医院,未知
广东省,清远市,连州,连州市保安医院,连州市保安医院,公立/综合医院,未知
广东省,清远市,连州,连州市总工会康复医院,连州市总工会康复医院,公立/综合医院,未知
广东省,清远市,连州,连州北山医院,连州北山医院,民营/其他,未知
广东省,清远市,连州,连州恒生医院,连州恒生医院,其他/其他,未知
广东省,清远市,连州,连州市高山医院,连州市高山医院,其他/其他,未知
广东省,清远市,连州,连州市星子镇中心卫生院,连州市星子镇中心卫生院,其他/其他,未知
广东省,清远市,连州,连州市妇幼保健院,连州市妇幼保健院,其他/综合医院,一级医院
广东省,清远市,连州,连州市东陂医院,连州市东陂医院,其他/其他,未知
广东省,清远市,连州,连州市九陂医院,连州市九陂医院,其他/综合医院,一级医院
广东省,清远市,连州,连州市龙坪医院,连州市龙坪医院,其他/综合医院,一级医院
广东省,清远市,连州,连州市龙潭医院,连州市龙潭医院,其他/综合医院,一级医院
广东省,清远市,连州,连州市清江医院,连州市清江医院,其他/综合医院,一级医院
广东省,清远市,连州,连州市红十字会医院,连州市红十字会医院,其他/综合医院,一级医院
广东省,清远市,连州,连州市人民医院,连州市人民医院,公立/综合医院,二级甲等
广东省,清远市,连州,连州市瑶安医院,连州市瑶安医院,/综合医院,未知
广东省,清远市,连州,连州市星子医院,连州市星子医院,/综合医院,未知
广东省,清远市,连州,连州市西江医院,连州市西江医院,/综合医院,未知
广东省,清远市,连州,连州市西岸医院,连州市西岸医院,/综合医院,未知
广东省,清远市,连州,连州市潭岭医院,连州市潭岭医院,/综合医院,未知
广东省,清远市,连州,连州市残疾人康复医院,连州市残疾人康复医院,公立/综合医院,未知
广东省,清远市,连州,连州市朱岗医院,连州市朱岗医院,公立/综合医院,未知
广东省,清远市,连州,连州市慢性病防治院,连州市慢性病防治院,公立/综合医院,未知
广东省,清远市,连州,连州市北湖医院,连州市北湖医院,公立/综合医院,未知
广东省,清远市,连州,连州市残疾康复医院,连州市残疾康复医院,公立/综合医院,一级甲等
广东省,清远市,连州,连州市中医院,连州市中医院,公立/中医医院,二级甲等
广东省,清远市,连州,连州市附城医院,连州市附城医院,公立/综合医院,未知
广东省,清远市,连州,连州市丰阳医院,连州市丰阳医院,公立/综合医院,未知
广东省,清远市,连州,连州市山塘医院,连州市山塘医院,公立/综合医院,未知
广东省,清远市,连州,连州市麻步医院,连州市麻步医院,公立/综合医院,未知
