省,市,区,全名,别名,性质,等级
广东省,清远市,阳山,阳山县人民医院,阳山县人民医院,公立/综合医院,未知
广东省,清远市,阳山,阳山县中医院,阳山县中医院,公立/综合医院,二级甲等
广东省,清远市,阳山,阳山县城东医院,阳山县城东医院,其他/其他,未知
广东省,清远市,阳山,阳山县黄坌镇卫生院,阳山县黄坌镇卫生院,其他/其他,未知
广东省,清远市,阳山,阳山县秤架瑶族乡卫生院,阳山县秤架瑶族乡卫生院,其他/其他,未知
广东省,清远市,阳山,阳山县岭背卫生院犁头分院,阳山县岭背卫生院犁头分院,其他/其他,未知
广东省,清远市,阳山,阳山县岭背镇卫生院,阳山县岭背镇卫生院,其他/其他,未知
广东省,清远市,阳山,阳山县江英镇卫生院,阳山县江英镇卫生院,其他/其他,未知
广东省,清远市,阳山,阳山县青莲镇卫生院,阳山县青莲镇卫生院,其他/其他,未知
广东省,清远市,阳山,阳山县杜步镇卫生院,阳山县杜步镇卫生院,其他/其他,未知
广东省,清远市,阳山,阳山县杨梅镇卫生院,阳山县杨梅镇卫生院,其他/其他,未知
广东省,清远市,阳山,阳山县太平卫生院白莲分院,阳山县太平卫生院白莲分院,其他/其他,未知
广东省,清远市,阳山,阳山县太平镇卫生院,阳山县太平镇卫生院,其他/其他,未知
广东省,清远市,阳山,阳山县大崀卫生院,阳山县大崀卫生院,其他/其他,未知
广东省,清远市,阳山,阳山县小江卫生院石螺分院,阳山县小江卫生院石螺分院,其他/其他,未知
广东省,清远市,阳山,阳山县小江镇卫生院,阳山县小江镇卫生院,其他/其他,未知
广东省,清远市,阳山,阳山县阳城卫生院二门诊,阳山县阳城卫生院二门诊,其他/门诊,未知
广东省,清远市,阳山,阳山县妇幼保健院,阳山县妇幼保健院,其他/专科医院,未知
广东省,清远市,阳山,阳山县青莲卫生院高峰分院,阳山县青莲卫生院高峰分院,其他/其他,未知
