省,市,区,全名,别名,性质,等级
广东省,潮州市,湘桥,潮州市妇幼保健院,潮州市妇幼保健院,公立/专科医院,未知
广东省,潮州市,湘桥,潮州市湘桥区中医院,潮州市湘桥区中医院,公立/综合医院,未知
广东省,潮州市,湘桥,潮州市湘桥区人民医院,潮州市湘桥区人民医院,公立/综合医院,未知
广东省,潮州市,湘桥,潮州市红山医院,潮州市红山医院,公立/综合医院,未知
广东省,潮州市,湘桥,潮州市湘桥区西新卫生院,潮州市湘桥区西新卫生院,公立/综合医院,未知
广东省,潮州市,湘桥,潮州市湘桥区西马卫生院,潮州市湘桥区西马卫生院,公立/综合医院,未知
广东省,潮州市,湘桥,潮州市湘桥区慢性病防治站,潮州市湘桥区慢性病防治站,公立/综合医院,未知
广东省,潮州市,湘桥,潮州市湘桥区金山卫生院,潮州市湘桥区金山卫生院,公立/综合医院,未知
广东省,潮州市,湘桥,潮州市湘桥区南春卫生院,潮州市湘桥区南春卫生院,公立/综合医院,未知
广东省,潮州市,湘桥,潮州市湘桥区太平卫生院,潮州市湘桥区太平卫生院,公立/综合医院,未知
广东省,潮州市,湘桥,潮州东方女子医院,潮州东方女子医院,民营/综合医院,未知
广东省,潮州市,湘桥,潮州韩江医院,潮州韩江医院,公立/综合医院,一级甲等
广东省,潮州市,湘桥,潮州市湘桥区妇幼保健院,潮州市湘桥区妇幼保健院,公立/综合医院,一级甲等
广东省,潮州市,湘桥,潮州市中医医院,潮州市中医医院,公立/综合医院,二级甲等
广东省,潮州市,湘桥,中国人民解放军第一八八医院,中国人民解放军第一八八医院,公立/综合医院,二级甲等
广东省,潮州市,湘桥,潮州市中医院,潮州市中医院,公立/综合医院,二级甲等
广东省,潮州市,湘桥,潮州市潮州医院,潮州市潮州医院,公立/综合医院,二级甲等
广东省,潮州市,湘桥,潮州市中心医院,潮州市中心医院,公立/综合医院,三级乙等
广东省,潮州市,湘桥,潮州一八八医院,潮州一八八医院,公立/综合医院,一级甲等
广东省,潮州市,湘桥,中国人民解放军一八八医院,中国人民解放军一八八医院,公立/综合医院,一级甲等
广东省,潮州市,湘桥,潮州男科医院,男科医院,民营/专科医院,未知
广东省,潮州市,湘桥,潮州博大医院,潮州博大医院,民营/综合医院,未知
