省,市,区,全名,别名,性质,等级
广东省,潮州市,潮安,潮州市干部疗养院,潮州市干部疗养院,公立/综合医院,未知
广东省,潮州市,潮安,潮州市凤山医院,潮州市凤山医院,公立/综合医院,未知
广东省,潮州市,潮安,潮州市枫溪卫生院,潮州市枫溪卫生院,公立/综合医院,未知
广东省,潮州市,潮安,潮安县文祠卫生院,潮安县文祠卫生院,公立/综合医院,未知
广东省,潮州市,潮安,潮安县铁铺卫生院,潮安县铁铺卫生院,公立/综合医院,未知
广东省,潮州市,潮安,潮安县田东卫生院,潮安县田东卫生院,公立/综合医院,未知
广东省,潮州市,潮安,潮安县沙溪卫生院,潮安县沙溪卫生院,公立/综合医院,未知
广东省,潮州市,潮安,潮安县岭后卫生院,潮安县岭后卫生院,公立/综合医院,未知
广东省,潮州市,潮安,潮安县磷溪卫生院,潮安县磷溪卫生院,公立/综合医院,未知
广东省,潮州市,潮安,潮安县江东卫生院,潮安县江东卫生院,公立/综合医院,未知
广东省,潮州市,潮安,潮安县归湖卫生院,潮安县归湖卫生院,公立/综合医院,未知
广东省,潮州市,潮安,潮安县古港卫生院,潮安县古港卫生院,公立/综合医院,未知
广东省,潮州市,潮安,潮安县浮洋中心卫生院,潮安县浮洋中心卫生院,公立/综合医院,未知
广东省,潮州市,潮安,潮安县凤塘卫生院,潮安县凤塘卫生院,公立/综合医院,未知
广东省,潮州市,潮安,潮安县凤南卫生院,潮安县凤南卫生院,公立/综合医院,未知
广东省,潮州市,潮安,潮安县凤凰中心卫生院,潮安县凤凰中心卫生院,公立/综合医院,未知
广东省,潮州市,潮安,潮安县东凤华侨医院,潮安县东凤华侨医院,公立/综合医院,未知
广东省,潮州市,潮安,潮安县登塘卫生院,潮安县登塘卫生院,公立/综合医院,未知
广东省,潮州市,潮安,潮安县赤凤卫生院,潮安县赤凤卫生院,公立/综合医院,未知
广东省,潮州市,潮安,潮安县彩塘卫生院,潮安县彩塘卫生院,公立/综合医院,未知
广东省,潮州市,潮安,潮安县庵埠华侨医院,潮安县华侨医院,公立/综合医院,一级乙等
广东省,潮州市,潮安,潮州市枫溪区人民医院,潮州市枫溪区人民医院,公立/综合医院,一级甲等
广东省,潮州市,潮安,潮安县大山卫生院,潮安县大山卫生院,公立/综合医院,一级甲等
广东省,潮州市,潮安,潮安县人民医院,潮安县人民医院,公立/综合医院,二级甲等
广东省,潮州市,潮安,潮市干部疗养院,潮市干部疗养院,公立/其他,未知
广东省,潮州市,潮安,潮安县妇幼保健院,潮安县妇幼保健院,公立/专科医院,未知
