省,市,区,全名,别名,性质,等级
广东省,潮州市,饶平,饶平县妇幼保健院,饶平县妇幼保健院,公立/妇幼保健医院,未知
广东省,潮州市,饶平,饶平县上善卫生院,饶平县上善卫生院,公立/综合医院,未知
广东省,潮州市,饶平,饶平县上饶卫生院,饶平县上饶卫生院,公立/综合医院,未知
广东省,潮州市,饶平,饶平县三饶卫生院,饶平县三饶卫生院,公立/综合医院,未知
广东省,潮州市,饶平,饶平县饶洋卫生院,饶平县饶洋卫生院,公立/综合医院,未知
广东省,潮州市,饶平,饶平县钱东中心卫生院,饶平县钱东中心卫生院,公立/综合医院,未知
广东省,潮州市,饶平,饶平县坪溪卫生院,饶平县坪溪卫生院,公立/综合医院,未知
广东省,潮州市,饶平,饶平县联饶卫生院,饶平县联饶卫生院,公立/综合医院,未知
广东省,潮州市,饶平,饶平县井洲卫生院,饶平县井洲卫生院,公立/综合医院,未知
广东省,潮州市,饶平,饶平县黄冈卫生院,饶平县黄冈卫生院,公立/综合医院,未知
广东省,潮州市,饶平,饶平县海山卫生院,饶平县海山卫生院,公立/综合医院,未知
广东省,潮州市,饶平,饶平县高堂卫生院,饶平县高堂卫生院,公立/综合医院,未知
广东省,潮州市,饶平,饶平县东山卫生院,饶平县东山卫生院,公立/综合医院,未知
广东省,潮州市,饶平,饶平县东界卫生院,饶平县东界卫生院,公立/综合医院,未知
广东省,潮州市,饶平,饶平县渔村卫生院,饶平县渔村卫生院,公立/综合医院,未知
广东省,潮州市,饶平,饶平县新圩卫生院,饶平县新圩卫生院,公立/综合医院,未知
广东省,潮州市,饶平,饶平县新塘卫生院,饶平县新塘卫生院,公立/综合医院,未知
广东省,潮州市,饶平,饶平县柘林卫生院,饶平县柘林卫生院,公立/综合医院,未知
广东省,潮州市,饶平,饶平县钱东卫生院,饶平县钱东卫生院,公立/综合医院,一级甲等
广东省,潮州市,饶平,饶平县华侨医院,饶平县华侨医院,公立/综合医院,一级甲等
广东省,潮州市,饶平,饶平县樟溪卫生院,饶平县樟溪卫生院,公立/综合医院,一级甲等
广东省,潮州市,饶平,饶平县新丰中心卫生院,饶平县新丰中心卫生院,公立/综合医院,一级甲等
广东省,潮州市,饶平,饶平县汤溪卫生院,饶平县汤溪卫生院,公立/综合医院,一级甲等
广东省,潮州市,饶平,饶平县人民医院,饶平县人民医院,公立/综合医院,二级甲等
