省,市,区,全名,别名,性质,等级
广东省,汕头市,澄海,澄海市华侨医院,澄海市华侨医院,公立/综合医院,未知
广东省,汕头市,澄海,澄海市大东皮肤医院,澄海市大东皮肤医院,公立/综合医院,未知
广东省,汕头市,澄海,澄海市妇幼保健院,澄海市妇幼保健院,公立/综合医院,未知
广东省,汕头市,澄海,澄海市中医院,澄海市中医院,公立/综合医院,未知
广东省,汕头市,澄海,汕头市澄海区大东皮肤医院,汕头市澄海区大东皮肤医院,公立/综合医院,未知
广东省,汕头市,澄海,汕头市澄海区妇幼保健院,汕头市澄海区妇幼保健院,公立/综合医院,未知
广东省,汕头市,澄海,汕头市澄海区中医院,汕头市澄海区中医院,公立/综合医院,未知
广东省,汕头市,澄海,澄海区中医医院,澄海区中医医院,公立/综合医院,未知
广东省,汕头市,澄海,澄海区人民医院,澄海区人民医院,公立/综合医院,二级甲等
广东省,汕头市,澄海,汕头市澄海区华侨医院,澄海区人民医院,公立/综合医院,二级甲等
广东省,汕头市,澄海,汕头市澄海区人民医院,汕头市澄海区人民医院,公立/综合医院,二级甲等
广东省,汕头市,澄海,澄海市人民医院,澄海市人民医院,公立/综合医院,二级甲等
广东省,汕头市,澄海,澄海区妇幼保健院,澄海区妇幼保健院,公立/妇幼保健医院,未知
广东省,汕头市,澄海,汕头市澄海区溪南镇卫生院,汕头市澄海区溪南镇卫生院,其他/综合医院,未知
广东省,汕头市,澄海,汕头市澄海区澄华街道社区卫生服务中心,汕头市澄海区澄华街道社区卫生服务中心,其他/其他,未知
广东省,汕头市,澄海,汕头市澄海区莲上镇卫生院,汕头市澄海区莲上镇卫生院,其他/综合医院,未知
广东省,汕头市,澄海,汕头市澄海区隆都中心卫生院,汕头市澄海区隆都中心卫生院,其他/综合医院,未知
广东省,汕头市,澄海,汕头市澄海区东里中心卫生院,汕头市澄海区东里中心卫生院,其他/综合医院,未知
广东省,汕头市,澄海,汕头市澄海区上华镇卫生院,汕头市澄海区上华镇卫生院,其他/综合医院,未知
广东省,汕头市,澄海,汕头市澄海区慢性病防治站,汕头市澄海区慢性病防治站,其他/其他,未知
