省,市,区,全名,别名,性质,等级
广东省,汕头市,潮阳,东洋卫生站,东洋卫生站,民营/综合医院,一级甲等
广东省,汕头市,潮阳,河浦区人民医院,河浦区人民医院,公立/综合医院,未知
广东省,汕头市,潮阳,潮阳区中医医院,潮阳区中医医院,公立/综合医院,未知
广东省,汕头市,潮阳,潮阳大峰医院,潮阳大峰医院,公立/综合医院,未知
广东省,汕头市,潮阳,汕头市潮阳区大峰医院,汕头市潮阳区大峰医院,公立/综合医院,未知
广东省,汕头市,潮阳,汕头市潮阳区妇幼保健院,汕头市潮阳区妇幼保健院,公立/综合医院,未知
广东省,汕头市,潮阳,汕头市潮阳区中医院,汕头市潮阳区中医院,公立/综合医院,二级甲等
广东省,汕头市,潮阳,汕头市潮阳区人民医院,汕头市潮阳区人民医院,公立/综合医院,二级甲等
广东省,汕头市,潮阳,汕头潮阳耀辉医院,汕头潮阳耀辉医院,民营/综合医院,二级甲等
广东省,汕头市,潮阳,潮阳区妇幼保健院,潮阳区妇幼保健院,公立/综合医院,未知
广东省,汕头市,潮阳,潮阳市人民医院,潮阳市人民医院,公立/综合医院,未知
广东省,汕头市,潮阳,潮阳市第二人民医院,潮阳市第二人民医院,公立/综合医院,未知
广东省,汕头市,潮阳,汕头市潮阳区关埠中心卫生院,汕头市潮阳区关埠中心卫生院,其他/综合医院,未知
广东省,汕头市,潮阳,汕头市潮阳区和平镇卫生院,汕头市潮阳区和平镇卫生院,其他/综合医院,未知
广东省,汕头市,潮阳,汕头市潮阳区海门镇卫生院,汕头市潮阳区海门镇卫生院,其他/综合医院,未知
广东省,汕头市,潮阳,汕头市潮阳区谷饶中心卫生院,汕头市潮阳区谷饶中心卫生院,其他/综合医院,未知
广东省,汕头市,潮阳,汕头市潮阳区西胪镇卫生院,汕头市潮阳区西胪镇卫生院,其他/综合医院,未知
广东省,汕头市,潮阳,汕头市潮阳区河溪卫生院,汕头市潮阳区河溪卫生院,其他/综合医院,未知
广东省,汕头市,潮阳,汕头市潮阳区金灶镇卫生院,汕头市潮阳区金灶镇卫生院,其他/综合医院,未知
广东省,汕头市,潮阳,汕头市潮阳区铜盂镇卫生院,汕头市潮阳区铜盂镇卫生院,其他/综合医院,未知
广东省,汕头市,潮阳,汕头市潮南区人民医院,汕头市潮南区人民医院,其他/综合医院,二级乙等
广东省,汕头市,潮阳,汕头市潮阳区慢性病防治站,汕头市潮阳区慢性病防治站,其他/其他,未知
广东省,汕头市,潮阳,汕头市中心医院潮阳耀辉合作医院,汕头市中心医院潮阳耀辉合作医院,其他/综合医院,未知
广东省,汕头市,潮阳,汕头市潮阳区竹棚医院,汕头市潮阳区竹棚医院,其他/综合医院,未知
广东省,汕头市,潮阳,河浦区人民医院,河浦区人民医院,公立/综合医院,未知
