省,市,区,全名,别名,性质,等级
广东省,揭阳市,普宁,揭阳市普宁市下架山卫生院,揭阳市普宁市下架山卫生院,公立/综合医院,一级甲等
广东省,揭阳市,普宁,揭阳市普宁市高埔卫生院,揭阳市普宁市高埔卫生院,公立/综合医院,未知
广东省,揭阳市,普宁,揭阳市普宁华侨人民医院,揭阳市普宁华侨人民医院,公立/综合医院,未知
广东省,揭阳市,普宁,揭阳市普宁市南溪卫生院,揭阳市普宁市南溪卫生院,公立/综合医院,一级甲等
广东省,揭阳市,普宁,揭阳市普宁市南径卫生院,揭阳市普宁市南径卫生院,公立/综合医院,一级甲等
广东省,揭阳市,普宁,揭阳市普宁市梅塘卫生院,揭阳市普宁市梅塘卫生院,公立/综合医院,一级甲等
广东省,揭阳市,普宁,揭阳市普宁市大坪卫生院,揭阳市普宁市大坪卫生院,公立/综合医院,一级甲等
广东省,揭阳市,普宁,揭阳市普宁市占陇中心医院,揭阳市普宁市占陇中心医院,公立/综合医院,一级甲等
广东省,揭阳市,普宁,揭阳市普宁市梅林卫生院,揭阳市普宁市梅林卫生院,公立/综合医院,一级甲等
广东省,揭阳市,普宁,揭阳市普宁市里湖中心医院,揭阳市普宁市里湖中心医院,公立/综合医院,一级甲等
广东省,揭阳市,普宁,普宁市洪阳人民医院,普宁市洪阳人民医院,公立/综合医院,一级甲等
广东省,揭阳市,普宁,普宁市华侨医院,普宁市华侨医院,公立/综合医院,二级甲等
广东省,揭阳市,普宁,普宁市中医医院,普宁市骨伤科医院,公立/综合医院,二级甲等
广东省,揭阳市,普宁,普宁市人民医院,普宁市人民医院,公立/综合医院,二级甲等
广东省,揭阳市,普宁,普宁市妇幼保健院,普宁市妇幼保健院,公立/专科医院,二级甲等
广东省,揭阳市,普宁,揭阳市普宁市大坝卫生院,揭阳市普宁市大坝卫生院,其他/综合医院,一级甲等
广东省,揭阳市,普宁,普宁市中医院,普宁骨伤科医院,公立/综合医院,二级甲等
广东省,揭阳市,普宁,普宁市人民医院,南方医科大学附属普宁人民医院,公立/综合医院,三级甲等　　
广东省,揭阳市,普宁,普宁安琪医院,普宁安琪医院,民营/专科医院,一级医院
广东省,揭阳市,普宁,普宁市杨庆寿眼科医院,普宁市杨庆寿眼科医院,其他/专科医院,一级甲等
广东省,揭阳市,普宁,普宁为民医院,普宁为民医院,其他/综合医院,一级甲等
广东省,揭阳市,普宁,普宁康美医院,普宁康美医院,民营/综合医院,二级甲等
广东省,揭阳市,普宁,普宁康达医院,普宁康达医院,民营/综合医院,一级甲等
广东省,揭阳市,普宁,普宁长江医院,普宁长江医院,民营/综合医院,一级甲等
广东省,揭阳市,普宁,普宁现代医院,普宁现代医院,民营/综合医院,一级甲等
广东省,揭阳市,普宁,后溪乡卫生院,后溪乡卫生院,公立/综合医院,一级甲等
广东省,揭阳市,普宁,云落镇卫生院,云落镇卫生院,公立/其他,未知
广东省,揭阳市,普宁,高埔镇卫生院,高埔镇卫生院,公立/综合医院,一级甲等
广东省,揭阳市,普宁,大坪镇卫生院,大坪镇卫生院,公立/综合医院,一级甲等
广东省,揭阳市,普宁,船埔镇卫生院,船埔镇卫生院,公立/综合医院,一级甲等
广东省,揭阳市,普宁,梅塘镇卫生院,梅塘镇卫生院,公立/综合医院,一级甲等
广东省,揭阳市,普宁,燎原街道社区卫生服务中心,燎原街道社区卫生服务中心,其他/其他,未知
广东省,揭阳市,普宁,大坝镇卫生院,大坝镇卫生院,公立/综合医院,一级甲等
广东省,揭阳市,普宁,赤岗镇卫生院,赤岗镇卫生院,公立/综合医院,一级甲等
广东省,揭阳市,普宁,广太镇卫生院,广太镇卫生院,公立/综合医院,一级甲等
广东省,揭阳市,普宁,麒麟镇卫生院,麒麟镇卫生院,公立/综合医院,一级甲等
广东省,揭阳市,普宁,南径镇卫生院,南径镇卫生院,公立/综合医院,一级甲等
广东省,揭阳市,普宁,军埠镇卫生院,军埠镇卫生院,公立/综合医院,一级甲等
广东省,揭阳市,普宁,大南山街道社区卫生服务中心,大南山街道社区卫生服务中心,其他/其他,未知
广东省,揭阳市,普宁,池尾街道社区卫生服务中心,池尾街道社区卫生服务中心,其他/其他,未知
广东省,揭阳市,普宁,流沙北街道社区卫生服务中心,流沙北街道社区卫生服务中心,其他/其他,未知
广东省,揭阳市,普宁,流沙南街道社区卫生服务中心,流沙南街道社区卫生服务中心,其他/其他,未知
广东省,揭阳市,普宁,流沙西街道社区卫生服务中心,流沙西街道社区卫生服务中心,其他/其他,未知
广东省,揭阳市,普宁,流沙东街道社区卫生服务中心,流沙东街道社区卫生服务中心,其他/其他,未知
广东省,揭阳市,普宁,普宁市梅林镇中心卫生院,普宁市梅林镇中心卫生院,公立/综合医院,一级甲等
广东省,揭阳市,普宁,普宁市里湖镇中心卫生院,普宁市里湖镇中心卫生院,公立/其他,一级甲等
广东省,揭阳市,普宁,普宁市占陇镇中心卫生院,普宁市占陇华侨医院,公立/综合医院,一级甲等
广东省,揭阳市,普宁,普宁市洪阳镇中心卫生院,普宁市洪阳镇中心卫生院,公立/综合医院,一级甲等
广东省,揭阳市,普宁,普宁市慢性病防治中心,普宁市慢性病防治中心,公立/其他,三级甲等　　
广东省,揭阳市,普宁,揭阳市普宁华侨管理区人民医院,揭阳市普宁华侨管理区人民医院,公立/综合医院,一级医院
广东省,揭阳市,普宁,普宁市慢性病防治站,普宁市慢性病防治站,公立/其他,未知
