省,市,区,全名,别名,性质,等级
广东省,揭阳市,揭东,揭东县慢性病防治站,揭东县慢性病防治站,公立/其他,未知
广东省,揭阳市,揭东,揭阳荣军男科医院,揭阳荣军男科医院,公立/专科医院,未知
广东省,揭阳市,揭东,揭阳市复退军人医院,揭阳市复退军人医院,公立/综合医院,未知
广东省,揭阳市,揭东,揭东县妇幼保健院,揭东县妇幼保健院,公立/综合医院,未知
广东省,揭阳市,揭东,揭阳市东山区东山医院,揭阳市东山区东山医院,公立/综合医院,未知
广东省,揭阳市,揭东,揭阳市东山精神病院,揭阳市东山精神病院,公立/综合医院,未知
广东省,揭阳市,揭东,揭东县云路镇卫生院,揭东县云路镇卫生院,公立/综合医院,未知
广东省,揭阳市,揭东,揭东县玉窖镇卫生院,揭东县玉窖镇卫生院,公立/综合医院,未知
广东省,揭阳市,揭东,揭东县西坑医院,揭东县西坑医院,公立/综合医院,未知
广东省,揭阳市,揭东,揭东县炮台医院,揭东县炮台医院,公立/综合医院,一级甲等
广东省,揭阳市,揭东,揭阳市红十字会慈云医院,揭阳市红十字会慈云医院,公立/综合医院,二级甲等
广东省,揭阳市,揭东,揭东县人民医院,揭东县人民医院,公立/综合医院,二级甲等
