省,市,区,全名,别名,性质,等级
广东省,揭阳市,揭西,揭阳经济开发试验区人民医院,揭阳经济开发试验区人民医院,公立/综合医院,未知
广东省,揭阳市,揭西,揭西县中医医院,揭西县中医医院,公立/综合医院,未知
广东省,揭阳市,揭西,揭西县下砂乡卫生院,揭西县下砂乡卫生院,公立/综合医院,未知
广东省,揭阳市,揭西,揭西县西田乡卫生院,揭西县西田乡卫生院,公立/综合医院,未知
广东省,揭阳市,揭西,揭西县五云镇卫生院,揭西县五云镇卫生院,公立/综合医院,未知
广东省,揭阳市,揭西,揭西县塔头镇卫生院,揭西县塔头镇卫生院,公立/综合医院,未知
广东省,揭阳市,揭西,揭西县上砂镇中心卫生院,揭西县上砂镇中心卫生院,公立/综合医院,未知
广东省,揭阳市,揭西,揭西县钱坑镇卫生院,揭西县钱坑镇卫生院,公立/综合医院,未知
广东省,揭阳市,揭西,揭西县钱坑卫生院,揭西县钱坑卫生院,公立/综合医院,未知
广东省,揭阳市,揭西,揭西县坪上镇卫生院,揭西县坪上镇卫生院,公立/综合医院,未知
广东省,揭阳市,揭西,揭西县南山镇卫生院,揭西县南山镇卫生院,公立/综合医院,未知
广东省,揭阳市,揭西,揭西县棉湖华侨医院,揭西县棉湖华侨医院,公立/综合医院,未知
广东省,揭阳市,揭西,揭西县龙潭镇卫生院,揭西县龙潭镇卫生院,公立/综合医院,未知
广东省,揭阳市,揭西,揭西县良田卫生院,揭西县良田卫生院,公立/综合医院,未知
广东省,揭阳市,揭西,揭西县京溪园镇卫生院,揭西县京溪园镇卫生院,公立/综合医院,未知
广东省,揭阳市,揭西,揭西县金和中心卫生院,揭西县金和中心卫生院,公立/综合医院,未知
广东省,揭阳市,揭西,揭西县灰寨镇中心卫生院,揭西县灰寨镇中心卫生院,公立/综合医院,未知
广东省,揭阳市,揭西,揭西县河婆镇卫生院,揭西县河婆镇卫生院,公立/综合医院,未知
广东省,揭阳市,揭西,揭西县骨伤科医院,揭西县骨伤科医院,公立/综合医院,未知
广东省,揭阳市,揭西,揭西县凤江镇卫生院,揭西县凤江镇卫生院,公立/综合医院,未知
广东省,揭阳市,揭西,揭西县东园镇卫生院,揭西县东园镇卫生院,公立/综合医院,未知
广东省,揭阳市,揭西,揭西县大溪卫生院,揭西县大溪卫生院,公立/综合医院,未知
广东省,揭阳市,揭西,揭西县妇幼保健站,揭西县妇幼保健站,公立/综合医院,未知
广东省,揭阳市,揭西,揭西县中医院,揭西县中医院,公立/综合医院,二级甲等
广东省,揭阳市,揭西,揭西县人民医院,揭西县人民医院,公立/综合医院,二级甲等
广东省,揭阳市,揭西,揭西县慢性病防治站,揭西县慢性病防治站,公立/其他,二级医院
广东省,揭阳市,揭西,揭西县慢病站精神康复中心,揭西县慢病站精神康复中心,公立/其他,二级医院
广东省,揭阳市,揭西,揭西县金和镇中心卫生院,揭西县金和镇中心卫生院,公立/综合医院,一级医院
广东省,揭阳市,揭西,揭西县大溪镇卫生院,揭西县大溪镇卫生院,公立/综合医院,一级医院
广东省,揭阳市,揭西,揭西县良田乡卫生院,揭西县良田乡卫生院,公立/综合医院,一级医院
广东省,揭阳市,揭西,揭西县上砂镇卫生院,揭西县上砂镇卫生院,公立/综合医院,一级医院
广东省,揭阳市,揭西,揭西县妇幼保健院,揭西县妇幼保健院,公立/妇幼保健医院,未知
