省,市,区,全名,别名,性质,等级
广西,南宁市,江南区,广西体育运动创伤专科医院,广西体育运动创伤专科医院,公立/综合医院,一级甲等
广西,南宁市,江南区,南宁中南妇科医院,南宁中南医院,民营/综合医院,一级甲等
广西,南宁市,江南区,南宁市邕宁区妇幼保健院,南宁市邕宁区妇幼保健院,公立/综合医院,未知
广西,南宁市,江南区,广西南宁市按摩医院,广西南宁市按摩医院,公立/专科医院,未知
广西,南宁市,江南区,南宁市江岭医院,南宁江岭医院,公立/综合医院,未评级
广西,南宁市,江南区,江南造船厂职工医院,江南造船厂职工医院,公立/综合医院,一级甲等
广西,南宁市,江南区,广西壮族自治区工人医院,广西职业病防治研究所,公立/专科医院,三级乙等
广西,南宁市,江南区,广西南宁第二医院生殖医疗中心,广西南宁第二医院生殖医疗中心,公立/综合医院,三级甲等　　
广西,南宁市,江南区,南宁市第二人民医院,广西医科大学第三附属医院,公立/综合医院,三级甲等　　
广西,南宁市,江南区,江南区亭子卫生院,江南区亭子卫生院,公立/综合医院,未知
广西,南宁市,江南区,江南区苏圩中心卫生院,江南区苏圩中心卫生院,公立/综合医院,未知
广西,南宁市,江南区,江南区延安镇卫生院,江南区延安镇卫生院,公立/综合医院,未知
广西,南宁市,江南区,南宁协和医院,南宁协和医院,民营/综合医院,二级医院
广西,南宁市,江南区,南宁市中南医院,广西南宁中南医院甲状腺科,其他/综合医院,未知
广西,南宁市,江南区,江南区江西镇同宁村卫生室,江南区江西镇同宁村卫生室,其他/其他,未知
广西,南宁市,江南区,江南区江西镇同江村卫生室,江南区江西镇同江村卫生室,其他/其他,未知
广西,南宁市,江南区,江南区江西镇安平村卫生室,江南区江西镇安平村卫生室,其他/其他,未知
广西,南宁市,江南区,江南区江西镇锦江村卫生室,江南区江西镇锦江村卫生室,其他/其他,未知
广西,南宁市,江南区,江南区江西镇那廊村卫生室,江南区江西镇那廊村卫生室,其他/其他,未知
广西,南宁市,江南区,江南区江西镇同新村卫生室,江南区江西镇同新村卫生室,其他/其他,未知
广西,南宁市,江南区,江南区江西镇杨美村卫生室,江南区江西镇杨美村卫生室,其他/其他,未知
广西,南宁市,江南区,江南区江西镇智信村卫生室,江南区江西镇智信村卫生室,其他/其他,未知
广西,南宁市,江南区,江南区江西镇同良村卫生室,江南区江西镇同良村卫生室,其他/其他,未知
广西,南宁市,江南区,江南区江西镇同华村卫生室,江南区江西镇同华村卫生室,其他/其他,未知
广西,南宁市,江南区,南宁经济技术开发区吴圩镇中心卫生院,南宁经济技术开发区吴圩镇中心卫生院,公立/综合医院,未知
广西,南宁市,江南区,江南区福建园社区卫生服务中心,江南区福建园社区卫生服务中心,其他/其他,未知
广西,南宁市,江南区,江南区沙井清川西社区卫生服务中心,江南区沙井清川西社区卫生服务中心,其他/其他,未知
广西,南宁市,江南区,江南区菠萝岭社区卫生服务中心,江南区菠萝岭社区卫生服务中心,其他/其他,未知
广西,南宁市,江南区,江南区沙井卫生院,江南区沙井卫生院,公立/综合医院,未知
广西,南宁市,江南区,广西江滨医院,广西壮族自治区江滨医院,公立/综合医院,三级甲等　　
