省,市,区,全名,别名,性质,等级
广西,南宁市,武鸣县,武鸣县人民中医院,武鸣县人民中医院,公立/中医医院,二级甲等
广西,南宁市,武鸣县,广西南宁市矿务局医院,广西南宁市矿务局医院,公立/综合医院,一级甲等
广西,南宁市,武鸣县,武鸣县妇幼保健院,武鸣县妇幼保健院,公立/综合医院,一级甲等
广西,南宁市,武鸣县,武鸣县华侨农场医院,武鸣县华侨农场医院,公立/综合医院,一级甲等
广西,南宁市,武鸣县,武鸣县中医院,武鸣县中医院,公立/综合医院,二级甲等
广西,南宁市,武鸣县,武鸣县更昌医院,武鸣县更昌医院,公立/综合医院,二级甲等
广西,南宁市,武鸣县,武鸣县人民医院,武鸣县人民医院,公立/综合医院,二级甲等
广西,南宁市,武鸣县,武鸣县灵水医院,武鸣县灵水医院,民营/综合医院,一级医院
广西,南宁市,武鸣县,武鸣县太平镇卫生院,武鸣县太平镇卫生院,公立/综合医院,未知
广西,南宁市,武鸣县,武鸣县城厢镇卫生院,武鸣县城厢镇卫生院,公立/综合医院,未知
广西,南宁市,武鸣县,武鸣县灵马镇卫生院,武鸣县灵马镇卫生院,公立/综合医院,未知
广西,南宁市,武鸣县,武鸣县两江镇中心卫生院,武鸣县两江镇中心卫生院,公立/综合医院,未知
广西,南宁市,武鸣县,武鸣县双桥中心卫生院,武鸣县双桥中心卫生院,公立/综合医院,未知
广西,南宁市,武鸣县,武鸣县马头镇卫生院,武鸣县马头镇卫生院,公立/综合医院,未知
广西,南宁市,武鸣县,武鸣县甘圩镇卫生院,武鸣县甘圩镇卫生院,公立/综合医院,未知
