省,市,区,全名,别名,性质,等级
广西,南宁市,宾阳县,广西壮族自治区廖平农场医院,广西壮族自治区廖平农场医院,公立/综合医院,一级甲等
广西,南宁市,宾阳县,宾阳县人民医院,宾阳县人民医院,公立/综合医院,二级甲等
广西,南宁市,宾阳县,南宁地区民族卫生学校附属医院,南宁地区民族卫生学校附属医院,公立/综合医院,二级乙等
广西,南宁市,宾阳县,南宁市第九人民医院,南宁市第九人民医院,公立/综合医院,二级甲等
广西,南宁市,宾阳县,宾阳县中医院,宾阳县中医院,公立/综合医院,二级甲等
广西,南宁市,宾阳县,宾阳县妇幼保健院,宾阳县妇幼保健院,公立/综合医院,二级甲等
广西,南宁市,宾阳县,南宁市宾阳县博爱医院,博爱医院,民营/综合医院,民营医院
广西,南宁市,宾阳县,宾阳县黎塘镇龙公村委卫生所,宾阳县黎塘镇龙公村委卫生所,其他/其他,未知
广西,南宁市,宾阳县,宾阳县黎塘镇凤鸣村委卫生所,宾阳县黎塘镇凤鸣村委卫生所,其他/其他,未知
广西,南宁市,宾阳县,宾阳县黎塘吴江村委卫生所,宾阳县黎塘吴江村委卫生所,其他/其他,未知
广西,南宁市,宾阳县,宾阳县黎塘镇新圩村委卫生所,宾阳县黎塘镇新圩村委卫生所,其他/其他,未知
广西,南宁市,宾阳县,宾阳县黎塘镇三和村委卫生所,宾阳县黎塘镇三和村委卫生所,其他/其他,未知
广西,南宁市,宾阳县,宾阳县黎塘镇启明村委卫生所,宾阳县黎塘镇启明村委卫生所,其他/其他,未评级
广西,南宁市,宾阳县,宾阳县疾病预防控制中心,宾阳县疾病预防控制中心,公立/其他,未知
广西,南宁市,宾阳县,宾阳县陈平镇卫生院,宾阳县陈平镇卫生院,公立/综合医院,未知
广西,南宁市,宾阳县,宾阳县思陇中心卫生院,宾阳县思陇中心卫生院,公立/综合医院,未知
广西,南宁市,宾阳县,宾阳县甘棠中心卫生院,宾阳县甘棠中心卫生院,公立/综合医院,未知
广西,南宁市,宾阳县,宾阳县黎塘中心卫生院,宾阳县黎塘中心卫生院,公立/综合医院,未知
广西,南宁市,宾阳县,宾阳县洋桥镇卫生院,宾阳县洋桥镇卫生院,公立/综合医院,未知
广西,南宁市,宾阳县,宾阳县黎塘镇卫生院,宾阳县黎塘镇卫生院,公立/综合医院,未知
广西,南宁市,宾阳县,宾阳县芦圩镇卫生院,宾阳县芦圩镇卫生院,公立/综合医院,未知
广西,南宁市,宾阳县,宾阳县新宾镇卫生院,宾阳县新宾镇卫生院,公立/综合医院,未知
广西,南宁市,宾阳县,宾阳县宾州镇卫生院,宾阳县宾州镇卫生院,公立/综合医院,未知
广西,南宁市,宾阳县,宾阳县古辣中心卫生院,宾阳县古辣中心卫生院,公立/综合医院,未知
广西,南宁市,宾阳县,宾阳县大桥镇中心卫生院,宾阳县大桥镇中心卫生院,公立/综合医院,未知
广西,南宁市,宾阳县,宾阳县新桥中心卫生院,宾阳县新桥中心卫生院,公立/综合医院,未知
广西,南宁市,宾阳县,宾阳县露圩镇卫生院,宾阳县露圩镇卫生院,公立/综合医院,未知
广西,南宁市,宾阳县,宾阳县中华镇卫生院,宾阳县中华镇卫生院,公立/综合医院,未知
广西,南宁市,宾阳县,宾阳县武陵镇卫生院,宾阳县武陵镇卫生院,公立/综合医院,未知
广西,南宁市,宾阳县,宾阳县红水河医院,宾阳县红水河医院,公立/综合医院,未知
