省,市,区,全名,别名,性质,等级
广西,柳州市,鱼峰区,柳州市职工疗养院,柳州市职工疗养院,公立/综合医院,二级甲等
广西,柳州市,鱼峰区,柳州福康医院,柳州福康男科医院,民营/综合医院,民营医院
广西,柳州市,鱼峰区,中国人民解放军第一五八医院,柳州158医院,公立/综合医院,二级甲等
广西,柳州市,鱼峰区,鱼峰区荣军社区卫生服务中心,鱼峰区荣军社区卫生服务中心,其他/其他,未知
广西,柳州市,鱼峰区,鱼峰区麒麟社区卫生服务中心,鱼峰区麒麟社区卫生服务中心,其他/其他,未知
广西,柳州市,鱼峰区,柳州市鱼峰区洛埠镇卫生院,柳州市鱼峰区洛埠镇卫生院,公立/综合医院,未知
广西,柳州市,鱼峰区,鱼峰区天马社区卫生服务中心,鱼峰区天马社区卫生服务中心,其他/其他,未知
广西,柳州市,鱼峰区,柳州机械厂职工医院,柳州机械厂职工医院,公立/综合医院,一级甲等
广西,柳州市,鱼峰区,柳州市燎原医院,柳州市燎原医院,公立/综合医院,一级甲等
广西,柳州市,鱼峰区,柳州市柳东医院,柳州市柳东医院,公立/综合医院,一级甲等
广西,柳州市,鱼峰区,柳州市鱼峰区医院,柳州市鱼峰区医院,公立/综合医院,一级甲等
广西,柳州市,鱼峰区,柳州市东环医院,柳州市东环医院,公立/综合医院,一级甲等
广西,柳州市,鱼峰区,柳州市大桥弘康医院,柳州市大桥弘康医院,民营/综合医院,一级甲等
广西,柳州市,鱼峰区,柳州市肿瘤医院,柳州卫校附属医院,公立/专科医院,二级甲等
广西,柳州市,鱼峰区,柳州市箭盘山医院,武警柳州市支队医院,公立/综合医院,二级甲等
广西,柳州市,鱼峰区,柳州市荣誉军人康复医院,柳州市荣誉军人康复医院,公立/综合医院,二级甲等
广西,柳州市,鱼峰区,柳州市第二人民医院,柳州市第二人民医院,公立/综合医院,二级甲等
广西,柳州市,鱼峰区,柳州医学高等专科学校附属医院广西甲状腺疾病专科医院,柳州医学高等专科学校附属医院广西甲状腺疾病专科医院,公立/专科医院,二级甲等
广西,柳州市,鱼峰区,广西地质职工医院,柳州市职工疗养院,公立/综合医院,二级甲等
广西,柳州市,鱼峰区,柳州市龙潭医院,柳州市龙潭医院,公立/综合医院,三级乙等
广西,柳州市,鱼峰区,柳州市中西医结合医院,柳州市中西医结合医院,公立/综合医院,二级甲等
广西,柳州市,鱼峰区,柳州市第三人民医院,柳州市第三人民医院,公立/综合医院,三级甲等　　
广西,柳州市,鱼峰区,柳州市工人医院,广西医科大学第四附属医院,公立/综合医院,三级甲等　　
