省,市,区,全名,别名,性质,等级
广西,柳州市,柳南区,柳州丽人不孕不育医院,柳州不孕不育医院,民营/综合医院,民营医院
广西,柳州市,柳南区,柳州五菱医院,柳州五菱医院,民营/综合医院,一级甲等
广西,柳州市,柳南区,柳州市柳南区人民医院分院,柳州市柳南区人民医院分院,公立/综合医院,一级甲等
广西,柳州市,柳南区,柳州市柳南区人民医院,柳州市柳南区人民医院,公立/综合医院,一级甲等
广西,柳州市,柳南区,柳州市男科医院,柳州健民医院,其他/专科医院,未知
广西,柳州市,柳南区,柳州市康华骨伤科医院,柳州市康华骨伤科医院,公立/综合医院,二级乙等
广西,柳州市,柳南区,柳州市第二妇幼保健院,柳州市第二妇幼保健院,公立/专科医院,二级甲等
广西,柳州市,柳南区,柳州工程机械集团职工医院,柳州工程机械集团职工医院,公立/综合医院,二级甲等
广西,柳州市,柳南区,柳州二空医院,柳州市柳南区柳石社区卫生服务中心,公立/综合医院,一级甲等
广西,柳州市,柳南区,柳州健民医院,柳州健民男科医院,其他/专科医院,未知
广西,柳州市,柳南区,柳二空医院,柳二空医院,公立/综合医院,一级甲等
广西,柳州市,柳南区,柳州铁路局中心医院,柳州铁路局中心医院,公立/综合医院,一级甲等
广西,柳州市,柳南区,柳南区西鹅卫生院,柳南区西鹅卫生院,公立/综合医院,未知
广西,柳州市,柳南区,柳南区太阳村镇卫生院,柳南区太阳村镇卫生院,公立/综合医院,未知
广西,柳州市,柳南区,柳南区南环社区卫生服务中心,柳南区南环社区卫生服务中心,其他/其他,未知
广西,柳州市,柳南区,柳州市柳南区潭西社区卫生服务中心,柳州市柳南区潭西社区卫生服务中心,其他/其他,未知
广西,柳州市,柳南区,柳南区柳南街道社区卫生服务中心,柳南区柳南街道社区卫生服务中心,其他/其他,未知
广西,柳州市,柳南区,南区柳石街道社区卫生服务中心,南区柳石街道社区卫生服务中心,其他/其他,未知
广西,柳州市,柳南区,柳南区鹅山社区卫生服务中心,柳南区鹅山社区卫生服务中心,其他/其他,未知
广西,柳州市,柳南区,柳南区河西街道社区卫生服务中心,柳南区河西街道社区卫生服务中心,其他/其他,未知
