省,市,区,全名,别名,性质,等级
广西,柳州市,柳北区,广西建工职工医院,广西建工职工医院,公立/综合医院,一级甲等
广西,柳州市,柳北区,柳州化肥厂职工医院,柳州化肥厂职工医院,公立/综合医院,一级甲等
广西,柳州市,柳北区,柳州市长塘医院,柳州市长塘医院,公立/综合医院,一级甲等
广西,柳州市,柳北区,柳州市第四人民医院,柳州市第四人民医院,公立/综合医院,二级甲等
广西,柳州市,柳北区,柳州市柳北区医院,柳州市柳北区医院,公立/综合医院,二级甲等
广西,柳州市,柳北区,柳州医学高等专科学校第一附属医院,柳州医学高等专科学校第一附属医院,公立/综合医院,三级甲等　　
广西,柳州市,柳北区,柳州华山医院,柳州皮肤病专科医院,合资/专科医院,未评级
广西,柳州市,柳北区,柳江县三都镇中心卫生院,柳江县三都镇中心卫生院,公立/综合医院,未知
广西,柳州市,柳北区,柳北区沙塘中心卫生院,柳北区沙塘中心卫生院,公立/综合医院,未知
广西,柳州市,柳北区,柳北区白露卫生院,柳北区白露卫生院,公立/综合医院,未知
广西,柳州市,柳北区,柳北区雀儿山社区卫生服务中心,柳北区雀儿山社区卫生服务中心,其他/其他,未知
广西,柳州市,柳北区,柳北区雅儒社区卫生服务中心,柳北区雅儒社区卫生服务中心,其他/其他,未知
广西,柳州市,柳北区,柳北区长塘镇卫生院,柳北区长塘镇卫生院,公立/综合医院,未知
广西,柳州市,柳北区,柳北区宏力社区卫生服务中心,柳北区宏力社区卫生服务中心,其他/其他,未知
广西,柳州市,柳北区,柳北区胜利社区卫生服务中心,柳北区胜利社区卫生服务中心,其他/其他,未知
广西,柳州市,柳北区,柳钢集团职工医院,柳钢集团职工医院,公立/综合医院,一级甲等
广西,柳州市,柳北区,广西建工医院,广西建工医院,公立/综合医院,一级甲等
广西,柳州市,柳北区,柳州地区妇幼保健院,柳州地区妇幼保健院,公立/综合医院,一级甲等
