省,市,区,全名,别名,性质,等级
广西,柳州市,柳江县,柳江县妇幼保健院,柳江县妇幼保健院,公立/综合医院,一级甲等
广西,柳州市,柳江县,柳江县建都中医骨科医院,柳江县建都中医骨科医院,公立/专科医院,一级甲等
广西,柳州市,柳江县,柳江县中医院,柳江县中医院,公立/综合医院,一级甲等
广西,柳州市,柳江县,柳江县人民医院,柳江县人民医院,公立/综合医院,二级乙等
广西,柳州市,柳江县,柳江县成团镇卫生院,柳江县成团镇卫生院,公立/综合医院,未知
广西,柳州市,柳江县,柳江县里高镇卫生院,柳江县里高镇卫生院,公立/综合医院,未知
广西,柳州市,柳江县,柳江县土博镇卫生院,柳江县土博镇卫生院,公立/综合医院,未知
广西,柳州市,柳江县,柳江县里雍镇卫生院,柳江县里雍镇卫生院,公立/综合医院,未知
广西,柳州市,柳江县,柳江县流山镇卫生院,柳江县流山镇卫生院,公立/综合医院,未知
广西,柳州市,柳江县,柳江县白沙乡卫生院,柳江县白沙乡卫生院,公立/综合医院,未知
广西,柳州市,柳江县,柳江县进德镇卫生院,柳江县进德镇卫生院,公立/综合医院,未知
广西,柳州市,柳江县,柳江县百朋镇中心卫生院,柳江县百朋镇中心卫生院,公立/综合医院,未知
广西,柳州市,柳江县,柳江县穿山镇中心卫生院,柳江县穿山镇中心卫生院,公立/综合医院,未知
广西,柳州市,柳江县,柳江县洛满镇中心卫生院,柳江县洛满镇中心卫生院,公立/综合医院,未知
