省,市,区,全名,别名,性质,等级
广西,柳州市,柳城县,柳城县妇保院,柳城县妇保院,公立/综合医院,一级甲等
广西,柳州市,柳城县,柳城县妇保所,柳城县妇保所,公立/综合医院,一级甲等
广西,柳州市,柳城县,柳城县骨伤科医院,柳城县骨伤科医院,公立/综合医院,一级甲等
广西,柳州市,柳城县,柳城县中医院,柳城县中医院,公立/综合医院,二级乙等
广西,柳州市,柳城县,柳城县人民医院,柳城县人民医院,公立/综合医院,二级甲等
广西,柳州市,柳城县,柳城县骨伤科医院, 柳城县骨伤科医院,公立/骨伤医院,一级甲等
广西,柳州市,柳城县,柳城县龙头镇卫生院,柳城县龙头镇卫生院,公立/综合医院,未知
广西,柳州市,柳城县,柳城县凤山镇卫生院,柳城县凤山镇卫生院,公立/综合医院,未知
广西,柳州市,柳城县,柳城县大埔镇卫生院,柳城县大埔镇卫生院,公立/综合医院,未知
广西,柳州市,柳城县,柳城县寨隆镇卫生院,柳城县寨隆镇卫生院,公立/综合医院,未知
广西,柳州市,柳城县,柳城县社冲乡卫生院,柳城县社冲乡卫生院,公立/综合医院,未知
广西,柳州市,柳城县,柳城县马山乡卫生院,柳城县马山乡卫生院,公立/综合医院,未知
广西,柳州市,柳城县,柳城县冲脉镇卫生院,柳城县冲脉镇卫生院,公立/综合医院,未知
广西,柳州市,柳城县,柳城县妇幼保健院,柳城县妇幼保健院,公立/其他,二级甲等
广西,柳州市,柳城县,柳城县太平中心卫生院,柳城县太平中心卫生院,公立/综合医院,未知
广西,柳州市,柳城县,柳城县六塘镇中心卫生院,柳城县六塘镇中心卫生院,公立/综合医院,未知
广西,柳州市,柳城县,柳城县古砦仫佬族乡中心卫生院,柳城县古砦仫佬族乡中心卫生院,公立/综合医院,未知
广西,柳州市,柳城县,柳城县东泉中心卫生院,柳城县东泉中心卫生院,公立/综合医院,未知
广西,柳州市,柳城县,柳城县大埔镇卫生院洛崖分院,柳城县大埔镇卫生院洛崖分院,公立/综合医院,未知
