省,市,区,全名,别名,性质,等级
广西,柳州市,融水县,融水苗族自治县妇幼保健院,融水苗族自治县妇幼保健院,公立/综合医院,一级甲等
广西,柳州市,融水县,融水苗族自治县人民医院,融水苗族自治县人民医院,公立/综合医院,二级甲等
广西,柳州市,融水县,三江侗族自治县富禄乡岑牙村上寨屯卫生室,三江侗族自治县富禄乡岑牙村上寨屯卫生室,其他/其他,未知
广西,柳州市,融水县,融水苗族自治县大年乡卫生院,融水苗族自治县大年乡卫生院,公立/综合医院,未知
广西,柳州市,融水县,融水苗族自治县良寨乡卫生院,融水苗族自治县良寨乡卫生院,公立/综合医院,未知
广西,柳州市,融水县,融水苗族自治县安陲乡卫生院,融水苗族自治县安陲乡卫生院,其他/其他,未知
广西,柳州市,融水县,融水苗族自治县滚贝乡卫生院,融水苗族自治县滚贝乡卫生院,公立/综合医院,未知
广西,柳州市,融水县,融水苗族自治县大浪镇卫生院,融水苗族自治县大浪镇卫生院,公立/综合医院,未知
广西,柳州市,融水县,融水苗族自治县大浪镇桐里村卫生室,融水苗族自治县大浪镇桐里村卫生室,其他/其他,未知
广西,柳州市,融水县,融水苗族自治县大浪镇上里村卫生室,融水苗族自治县大浪镇上里村卫生室,其他/其他,未知
广西,柳州市,融水县,融水苗族自治县大浪镇潘里村卫生室,融水苗族自治县大浪镇潘里村卫生室,其他/其他,未知
广西,柳州市,融水县,融水苗族自治县大浪镇河口村卫生室,融水苗族自治县大浪镇河口村卫生室,其他/其他,未知
广西,柳州市,融水县,融水苗族自治县大浪镇高培村卫生室,融水苗族自治县大浪镇高培村卫生室,其他/其他,未知
广西,柳州市,融水县,融水苗族自治县大浪镇大新村卫生室,融水苗族自治县大浪镇大新村卫生室,其他/其他,未知
广西,柳州市,融水县,融水苗族自治县大浪镇大安村卫生室,融水苗族自治县大浪镇大安村卫生室,其他/其他,未知
广西,柳州市,融水县,融水苗族自治县拱洞乡大沟村卫生室,融水苗族自治县拱洞乡大沟村卫生室,其他/其他,未知
广西,柳州市,融水县,融水苗族自治县拱洞乡洋鸟村卫生室,融水苗族自治县拱洞乡洋鸟村卫生室,其他/其他,未知
广西,柳州市,融水县,融水苗族自治县拱洞乡瑶龙村卫生室,融水苗族自治县拱洞乡瑶龙村卫生室,其他/其他,未知
