省,市,区,全名,别名,性质,等级
广西,桂林市,叠彩区,桂林地区妇幼保健院,桂林地区妇幼保健院,公立/专科医院,一级甲等
广西,桂林市,叠彩区,桂林铁路医院,桂林铁路医院,公立/综合医院,二级甲等
广西,桂林市,叠彩区,桂林市精神病院,桂林市精神病院,公立/专科医院,二级乙等
广西,桂林市,叠彩区,桂林市中医学校附属医院,桂林市中医学校附属医院,公立/综合医院,二级甲等
广西,桂林市,叠彩区,桂林市第九人民医院,桂林市第九人民医院,公立/综合医院,二级甲等
广西,桂林市,叠彩区,桂林市第二人民医院,桂林市第二人民医院,公立/综合医院,三级甲等　　
广西,桂林市,叠彩区,桂林男健医院,桂林男健医院,合资/专科医院,未评级
广西,桂林市,叠彩区,桂林叠彩妇科医院,桂林叠彩妇科医院,其他/专科医院,未知
广西,桂林市,叠彩区,叠彩区大河乡卫生院,叠彩区大河乡卫生院,公立/综合医院,未知
广西,桂林市,叠彩区,叠彩区叠彩社区卫生服务中心,叠彩区叠彩社区卫生服务中心,其他/其他,未知
广西,桂林市,叠彩区,叠彩区叠彩社区卫生服务站,叠彩区叠彩社区卫生服务站,其他/其他,未知
广西,桂林市,叠彩区,叠彩区北门社区卫生服务中心,叠彩区北门社区卫生服务中心,其他/其他,未知
广西,桂林市,叠彩区,桂林华医堂中医门诊部,桂林华医堂中医门诊部,合资/综合医院,未评级
广西,桂林市,叠彩区,桂林市穿山医院,桂林市穿山医院,公立/综合医院,一级甲等
广西,桂林市,叠彩区,广西长海厂职工医院,广西长海厂职工医院,公立/综合医院,一级甲等
