省,市,区,全名,别名,性质,等级
广西,桂林市,象山区,桂林九州医院,桂林天鹅塘医院,合资/综合医院,未知
广西,桂林市,象山区,桂林桂疗男科医院,桂林桂疗,合资/其他,未知
广西,桂林市,象山区,象山区平山社区卫生服务中心,象山区平山社区卫生服务中心,其他/其他,未知
广西,桂林市,象山区,象山区南门社区卫生服务中心,象山区南门社区卫生服务中心,其他/其他,未知
广西,桂林市,象山区,象山区龙船坪社区卫生服务站,象山区龙船坪社区卫生服务站,其他/其他,未知
广西,桂林市,象山区,象山区二塘乡卫生院,象山区二塘乡卫生院,公立/综合医院,未知
广西,桂林市,象山区,桂林美莱医学美容门诊部,美莱整形,民营/其他,未知
广西,桂林市,象山区,桂林老医综合门诊部,桂林老医男科,其他/综合医院,未评级
广西,桂林市,象山区,桂林天鹅塘医院,桂林九州医院,公立/综合医院,一级甲等
广西,桂林市,象山区,中国人民解放军一八一医院,中国人民解放军一八一医院,公立/综合医院,三级甲等　　
广西,桂林市,象山区,南溪山医院,自治区第二人民医院,公立/综合医院,三级甲等　　
广西,桂林市,象山区,桂林市自愿戒毒康复中心,桂林市自愿戒毒康复中心,公立/综合医院,一级甲等
广西,桂林市,象山区,桂林市中西医结合肛肠医院,桂林市中西医结合肛肠医院,公立/综合医院,二级甲等
广西,桂林市,象山区,桂林市中医院,桂林市中医院,公立/综合医院,三级甲等　　
广西,桂林市,象山区,桂林市人民医院,桂林市人民医院,公立/综合医院,三级甲等　　
