省,市,区,全名,别名,性质,等级
广西,桂林市,七星区,七星区七星社区卫生服务中心,七星区七星社区卫生服务中心,其他/其他,未知
广西,桂林市,七星区,七星区东江社区卫生服务中心,七星区东江社区卫生服务中心,其他/其他,未知
广西,桂林市,七星区,桂林市东江医院,桂林市东江医院,公立/综合医院,一级甲等
广西,桂林市,七星区,桂林市第七人民医院,桂林市穿山医院,公立/综合医院,二级甲等
广西,桂林市,七星区,桂林空军炮院医院,桂林空军炮院医院,公立/综合医院,一级甲等
广西,桂林市,七星区,桂林地区石油医院,桂林地区石油医院,公立/综合医院,一级甲等
广西,桂林市,七星区,桂林阳光医院,桂林东江医院,公立/综合医院,未知
广西,桂林市,七星区,桂林市皮肤病防治医院,桂林市第八人民医院,公立/专科医院,一级甲等
广西,桂林市,七星区,桂林市第五人民医院,桂林市肿瘤医院,公立/综合医院,三级乙等
广西,桂林市,七星区,中国人民解放军第181医院,解放军第181医院,公立/综合医院,三级甲等　　
广西,桂林市,七星区,广西壮族自治区南溪山医院,南溪山医院,公立/综合医院,一级甲等
广西,桂林市,七星区,桂林市漓江医疗保健院,桂林市漓江医疗保健院,公立/综合医院,一级甲等
