省,市,区,全名,别名,性质,等级
广西,桂林市,阳朔县,阳朔县妇幼保健院,阳朔县妇幼保健院,公立/综合医院,一级甲等
广西,桂林市,阳朔县,阳朔县中医院,阳朔县中医院,公立/综合医院,二级乙等
广西,桂林市,阳朔县,阳朔县人民医院,阳朔县人民医院,公立/综合医院,二级甲等
广西,桂林市,阳朔县,阳朔县葡萄镇葡萄村委卫生所,阳朔县葡萄镇葡萄村委卫生所,其他/其他,未知
广西,桂林市,阳朔县,阳朔县普益乡卫生院,阳朔县普益乡卫生院,公立/综合医院,未知
广西,桂林市,阳朔县,阳朔县阳朔镇卫生院,阳朔县阳朔镇卫生院,公立/综合医院,未知
广西,桂林市,阳朔县,阳朔县白沙镇中心卫生院,阳朔县白沙镇中心卫生院,公立/综合医院,未知
广西,桂林市,阳朔县,阳朔县兴坪镇中心卫生院,阳朔县兴坪镇中心卫生院,公立/综合医院,未知
广西,桂林市,阳朔县,阳朔县高田镇卫生院,阳朔县高田镇卫生院,公立/综合医院,未知
广西,桂林市,阳朔县,阳朔县葡萄镇卫生院,阳朔县葡萄镇卫生院,公立/综合医院,未知
广西,桂林市,阳朔县,阳朔县葡萄镇垌村村委卫生所,阳朔县葡萄镇垌村村委卫生所,其他/其他,未知
广西,桂林市,阳朔县,阳朔县葡萄镇杨梅岭村委卫生所,阳朔县葡萄镇杨梅岭村委卫生所,其他/其他,未知
广西,桂林市,阳朔县,阳朔县葡萄镇陵陂村委卫生所,阳朔县葡萄镇陵陂村委卫生所,其他/其他,未知
广西,桂林市,阳朔县,阳朔县葡萄镇马岚村委卫生所,阳朔县葡萄镇马岚村委卫生所,其他/其他,未知
广西,桂林市,阳朔县,阳朔县葡萄镇福旺村委卫生所,阳朔县葡萄镇福旺村委卫生所,其他/其他,未知
广西,桂林市,阳朔县,阳朔县葡萄镇仁和村委卫生室,阳朔县葡萄镇仁和村委卫生室,其他/其他,未知
广西,桂林市,阳朔县,阳朔县葡萄镇下岩村委卫生所,阳朔县葡萄镇下岩村委卫生所,其他/其他,未知
广西,桂林市,阳朔县,阳朔县葡萄镇西岭村委卫生所,阳朔县葡萄镇西岭村委卫生所,其他/其他,未知
广西,桂林市,阳朔县,阳朔县葡萄镇报安村委卫生所,阳朔县葡萄镇报安村委卫生所,其他/其他,未知
广西,桂林市,阳朔县,阳朔县葡萄镇周寨村委卫生所,阳朔县葡萄镇周寨村委卫生所,其他/其他,未知
广西,桂林市,阳朔县,阳朔县葡萄镇马岚村委大桥村卫生室,阳朔县葡萄镇马岚村委大桥村卫生室,其他/其他,未知
