省,市,区,全名,别名,性质,等级
广西,桂林市,灵川县,灵川县人民医院,灵川县人民医院,公立/综合医院,二级甲等
广西,桂林市,灵川县,灵川县妇幼保健院,灵川县妇幼保健院,公立/综合医院,一级甲等
广西,桂林市,灵川县,灵川县中医院,灵川县中医院,公立/综合医院,二级甲等
广西,桂林市,灵川县,全州县两河乡下刘村委卫生室,全州县两河乡下刘村委卫生室,其他/其他,未知
广西,桂林市,灵川县,灵川县潭下镇中心卫生院,灵川县潭下镇中心卫生院,公立/综合医院,未知
广西,桂林市,灵川县,灵川县灵川镇卫生院,灵川县灵川镇卫生院,公立/综合医院,未知
广西,桂林市,灵川县,灵川县大圩镇中心卫生院,灵川县大圩镇中心卫生院,公立/综合医院,未知
广西,桂林市,灵川县,灵川县定江镇中心卫生院,灵川县定江镇中心卫生院,公立/综合医院,未知
广西,桂林市,灵川县,灵川梧桐墅医院,灵川梧桐墅医院,民营/综合医院,一级医院
广西,桂林市,灵川县,灵川县九屋镇中心卫生院,灵川县九屋镇中心卫生院,公立/综合医院,未知
广西,桂林市,灵川县,灵川县灵田乡卫生院,灵川县灵田乡卫生院,公立/综合医院,未知
广西,桂林市,灵川县,灵川县三街镇卫生院,灵川县三街镇卫生院,公立/综合医院,未知
广西,桂林市,灵川县,灵川县海洋乡卫生院,灵川县海洋乡卫生院,其他/其他,未知
广西,桂林市,灵川县,灵川县潮田乡卫生院,灵川县潮田乡卫生院,公立/综合医院,未知
广西,桂林市,灵川县,灵川县大境瑶族乡卫生院,灵川县大境瑶族乡卫生院,公立/综合医院,未知
