省,市,区,全名,别名,性质,等级
广西,桂林市,平乐县,平乐县桥亭乡卫生院,平乐县桥亭乡卫生院,公立/综合医院,未知
广西,桂林市,平乐县,平乐县青龙乡卫生院,平乐县青龙乡卫生院,公立/综合医院,未知
广西,桂林市,平乐县,平乐县大发瑶族乡卫生院,平乐县大发瑶族乡卫生院,公立/综合医院,未知
广西,桂林市,平乐县,平乐县平乐镇长滩卫生院,平乐县平乐镇长滩卫生院,公立/综合医院,未知
广西,桂林市,平乐县,平乐县沙子镇中心卫生院,平乐县沙子镇中心卫生院,公立/综合医院,未知
广西,桂林市,平乐县,平乐县同安镇中心卫生院,平乐县同安镇中心卫生院,公立/综合医院,未知
广西,桂林市,平乐县,平乐县张家镇中心卫生院,平乐县张家镇中心卫生院,公立/综合医院,未知
广西,桂林市,平乐县,平乐县源头镇中心卫生院,平乐县源头镇中心卫生院,公立/综合医院,未知
广西,桂林市,平乐县,平乐县二塘镇中心卫生院,平乐县二塘镇中心卫生院,公立/综合医院,未知
广西,桂林市,平乐县,平乐昭州医院,平乐昭州医院,民营/综合医院,未知
广西,桂林市,平乐县,平乐县沙子镇维新村黄为明卫生室,平乐县沙子镇维新村黄为明卫生室,其他/其他,未知
广西,桂林市,平乐县,平乐县平乐镇卫生院,平乐县平乐镇卫生院,公立/综合医院,未知
广西,桂林市,平乐县,平乐县精神病医院,平乐县精神病医院,公立/综合医院,一级甲等
广西,桂林市,平乐县,平乐县中医院,平乐县中医院,公立/综合医院,一级甲等
广西,桂林市,平乐县,平乐县妇幼保健院,平乐县妇幼保健院,公立/综合医院,一级甲等
广西,桂林市,平乐县,平乐县人民医院,平乐县人民医院,公立/综合医院,二级甲等
