省,市,区,全名,别名,性质,等级
广西,桂林市,荔浦县,荔浦县妇幼保健站,荔浦县妇幼保健站,公立/综合医院,一级甲等
广西,桂林市,荔浦县,荔浦县人民医院,荔浦县人民医院,公立/综合医院,二级乙等
广西,桂林市,荔浦县,荔浦县中医院,荔浦县中医院,公立/综合医院,二级甲等
广西,桂林市,荔浦县,荔浦县妇幼保健院,荔浦县妇幼保健院,公立/综合医院,未知
广西,桂林市,荔浦县,荔浦县修仁中心卫生院,荔浦县修仁中心卫生院,公立/综合医院,未知
广西,桂林市,荔浦县,荔浦县马岭中心卫生院,荔浦县马岭中心卫生院,公立/综合医院,未知
广西,桂林市,荔浦县,荔浦县青山中心卫生院,荔浦县青山中心卫生院,公立/综合医院,未知
广西,桂林市,荔浦县,荔浦县双江镇卫生院,荔浦县双江镇卫生院,公立/综合医院,未知
广西,桂林市,荔浦县,荔浦县荔城镇卫生院,荔浦县荔城镇卫生院,公立/综合医院,未知
广西,桂林市,荔浦县,荔浦县东昌镇卫生院,荔浦县东昌镇卫生院,公立/综合医院,未知
广西,桂林市,荔浦县,荔浦县大塘镇卫生院,荔浦县大塘镇卫生院,公立/综合医院,未知
广西,桂林市,荔浦县,荔浦县新坪镇卫生院,荔浦县新坪镇卫生院,公立/综合医院,未知
广西,桂林市,荔浦县,荔浦县龙怀乡卫生院,荔浦县龙怀乡卫生院,公立/综合医院,未知
广西,桂林市,荔浦县,荔浦县蒲芦瑶族乡卫生院,荔浦县蒲芦瑶族乡卫生院,公立/综合医院,未知
广西,桂林市,荔浦县,荔浦县杜莫镇中心卫生院,荔浦县杜莫镇中心卫生院,公立/综合医院,未知
