省,市,区,全名,别名,性质,等级
广西,桂林市,龙胜县,龙胜各族自治县中医院,龙胜各族自治县中医院,公立/综合医院,一级甲等
广西,桂林市,龙胜县,龙胜县人民医院,龙胜县人民医院,公立/综合医院,一级甲等
广西,桂林市,龙胜县,龙胜县妇幼保健院,龙胜县妇幼保健院,公立/综合医院,未知
广西,桂林市,龙胜县,龙胜各族自治县平等中心卫生院,龙胜各族自治县平等中心卫生院,公立/综合医院,未知
广西,桂林市,龙胜县,龙胜各族自治县马堤乡卫生院,龙胜各族自治县马堤乡卫生院,公立/综合医院,未知
广西,桂林市,龙胜县,龙胜各族自治县乐江乡卫生院,龙胜各族自治县乐江乡卫生院,公立/综合医院,未知
广西,桂林市,龙胜县,龙胜各族自治县泗水乡卫生院,龙胜各族自治县泗水乡卫生院,公立/综合医院,未知
广西,桂林市,龙胜县,龙胜各族自治县龙胜镇卫生院,龙胜各族自治县龙胜镇卫生院,公立/综合医院,未知
广西,桂林市,龙胜县,龙胜各族自治县江底乡卫生院,龙胜各族自治县江底乡卫生院,公立/综合医院,未知
广西,桂林市,龙胜县,龙胜各族自治县三门镇卫生院,龙胜各族自治县三门镇卫生院,公立/综合医院,未知
广西,桂林市,龙胜县,龙胜各族自治县伟江乡卫生院,龙胜各族自治县伟江乡卫生院,公立/综合医院,未知
广西,桂林市,龙胜县,广西龙胜各族自治县人民医院,广西龙胜各族自治县人民医院,公立/综合医院,二级甲等
广西,桂林市,龙胜县,龙胜各族自治县妇幼保健院,龙胜各族自治县妇幼保健院,公立/综合医院,未知
