省,市,区,全名,别名,性质,等级
广西,梧州市,万秀区,桂江造船厂职工医院,桂江造船厂职工医院,公立/综合医院,一级甲等
广西,梧州市,万秀区,梧州男科医院,梧州男科,合资/专科医院,未评级
广西,梧州市,万秀区,梧州市皮肤病防治院,梧州市皮肤病防治院,公立/综合医院,一级甲等
广西,梧州市,万秀区,梧州市第三人民医院,梧州市里湖医院,公立/专科医院,二级甲等
广西,梧州市,万秀区,梧州市第二人民医院,梧州市第二人民医院,公立/专科医院,二级甲等
广西,梧州市,万秀区,梧州市人民医院,梧州市人民医院,公立/综合医院,三级乙等
广西,梧州市,万秀区,梧州市工人医院,梧州市工人医院,公立/综合医院,三级甲等　　
广西,梧州市,万秀区,梧州中山医院,梧州中山医院,民营/综合医院,民营医院
广西,梧州市,万秀区,桂东人民医院,桂东人民医院,公立/综合医院,三级甲等　　
广西,梧州市,万秀区,万秀区富民社区卫生服务中心,万秀区富民社区卫生服务中心,其他/其他,未知
广西,梧州市,万秀区,万秀区夏郢镇凤凰村卫生所,万秀区夏郢镇凤凰村卫生所,公立/其他,未知
广西,梧州市,万秀区,梧州地区皮肤病防治院,梧州地区皮肤病防治院,公立/综合医院,一级甲等
广西,梧州市,万秀区,万秀区夏郢镇卫生院,万秀区夏郢镇卫生院,公立/综合医院,未知
广西,梧州市,万秀区,广西桂东人民医院,广西桂东人民医院,公立/综合医院,三级医院
广西,梧州市,万秀区,广西桂江造船厂职工医院,广西桂江造船厂职工医院,公立/综合医院,一级甲等
广西,梧州市,万秀区,万秀区城东镇卫生院,万秀区城东镇卫生院,其他/其他,未知
广西,梧州市,万秀区,万秀区城东社区卫生服务中心,万秀区城东社区卫生服务中心,其他/其他,未知
