省,市,区,全名,别名,性质,等级
广西,梧州市,岑溪市,岑溪市康复医院,岑溪市康复医院,公立/综合医院,一级甲等
广西,梧州市,岑溪市,岑溪市精神病医院,岑溪市精神病医院,公立/综合医院,一级甲等
广西,梧州市,岑溪市,岑溪市皮肤性病防治院,岑溪市皮肤性病防治院,公立/综合医院,一级甲等
广西,梧州市,岑溪市,岑溪市妇幼保健院,岑溪市妇幼保健院,公立/专科医院,一级甲等
广西,梧州市,岑溪市,岑溪市中医院,岑溪市中医院,公立/综合医院,二级甲等
广西,梧州市,岑溪市,岑溪市人民医院,岑溪市人民医院,公立/综合医院,二级甲等
广西,梧州市,岑溪市,岑溪市义江医院,岑溪市义江医院,公立/综合医院,二级乙等
广西,梧州市,岑溪市,岑溪市梨木镇卫生院,岑溪市梨木镇卫生院,其他/其他,未知
广西,梧州市,岑溪市,岑溪市梨木镇里汉村卫生所,岑溪市梨木镇里汉村卫生所,公立/其他,未知
广西,梧州市,岑溪市,岑溪市三堡中心卫生院,岑溪市三堡中心卫生院,公立/综合医院,未知
广西,梧州市,岑溪市,岑溪市波塘镇卫生院,岑溪市波塘镇卫生院,公立/综合医院,未知
广西,梧州市,岑溪市,岑溪市马路镇卫生院,岑溪市马路镇卫生院,公立/综合医院,未知
广西,梧州市,岑溪市,岑溪市梨木镇高围村卫生所,岑溪市梨木镇高围村卫生所,其他/其他,未知
广西,梧州市,岑溪市,岑溪市梨木镇泗祥村卫生所,岑溪市梨木镇泗祥村卫生所,其他/其他,未知
广西,梧州市,岑溪市,岑溪市梨木镇大旺村卫生所,岑溪市梨木镇大旺村卫生所,其他/其他,未知
广西,梧州市,岑溪市,岑溪市梨木镇梨木社区卫生所,岑溪市梨木镇梨木社区卫生所,其他/其他,未知
广西,梧州市,岑溪市,岑溪市梨木镇河木村卫生所,岑溪市梨木镇河木村卫生所,其他/其他,未知
广西,梧州市,岑溪市,岑溪市梨木镇云开村卫生所,岑溪市梨木镇云开村卫生所,其他/其他,未知
广西,梧州市,岑溪市,岑溪市梨木镇南沙村卫生所,岑溪市梨木镇南沙村卫生所,其他/其他,未知
广西,梧州市,岑溪市,岑溪市梨木镇社护村卫生所,岑溪市梨木镇社护村卫生所,其他/其他,未知
广西,梧州市,岑溪市,岑溪市梨木镇塘坎村卫生所,岑溪市梨木镇塘坎村卫生所,其他/其他,未知
广西,梧州市,岑溪市,岑溪市梨木镇水井村卫生所,岑溪市梨木镇水井村卫生所,其他/其他,未知
广西,梧州市,岑溪市,岑溪市梨木镇大坡村卫生所,岑溪市梨木镇大坡村卫生所,其他/其他,未知
广西,梧州市,岑溪市,岑溪市梨木镇双元村卫生所,岑溪市梨木镇双元村卫生所,其他/其他,未知
广西,梧州市,岑溪市,岑溪市梨木镇白护村卫生所,岑溪市梨木镇白护村卫生所,其他/其他,未知
广西,梧州市,岑溪市,岑溪市梨木镇沙琴村卫生所,岑溪市梨木镇沙琴村卫生所,其他/其他,未知
广西,梧州市,岑溪市,岑溪市梨木镇平田村卫生所,岑溪市梨木镇平田村卫生所,其他/其他,未知
广西,梧州市,岑溪市,岑溪市梨木镇塘三益卫生所,岑溪市梨木镇塘三益卫生所,其他/其他,未知
广西,梧州市,岑溪市,岑溪市诚谏镇卫生院,岑溪市诚谏镇卫生院,公立/综合医院,未知
广西,梧州市,岑溪市,岑溪市大业中心卫生院,岑溪市大业中心卫生院,公立/综合医院,未知
广西,梧州市,岑溪市,岑溪市大隆镇卫生院,岑溪市大隆镇卫生院,公立/综合医院,未知
广西,梧州市,岑溪市,岑溪市糯垌中心卫生院,岑溪市糯垌中心卫生院,公立/综合医院,未知
广西,梧州市,岑溪市,岑溪市安平镇卫生院,岑溪市安平镇卫生院,公立/综合医院,未知
广西,梧州市,岑溪市,溪市水汶镇文化路1号,溪市水汶镇文化路1号,公立/综合医院,未知
广西,梧州市,岑溪市,岑溪市岑城镇卫生院,岑溪市岑城镇卫生院,公立/综合医院,未知
广西,梧州市,岑溪市,岑溪市南渡中心卫生院,岑溪市南渡中心卫生院,公立/综合医院,未知
广西,梧州市,岑溪市,岑溪市归义镇卫生院,岑溪市归义镇卫生院,公立/综合医院,未知
