省,市,区,全名,别名,性质,等级
广西,北海市,海城区,北海市博铧医院,北海市博铧医院,公立/综合医院,一级甲等
广西,北海市,海城区,北海市精神病收容所,北海市精神病收容所,公立/综合医院,一级甲等
广西,北海市,海城区,北海市先觉新医正骨医院,北海市先觉新医正骨医院,公立/综合医院,一级甲等
广西,北海市,海城区,北海市万博骨科医院,北海市万博骨科医院,民营/专科医院,一级甲等
广西,北海市,海城区,北海曙光门诊部,北海曙光医院,民营/专科医院,未评级
广西,北海市,海城区,北海真爱妇科门诊部,北海真爱医院,民营/专科医院,民营医院
广西,北海市,海城区,北海北部湾职业病院,北海北部湾职业病院,公立/综合医院,二级甲等
广西,北海市,海城区,北海市妇幼保健院,北海市妇幼保健院,公立/综合医院,二级甲等
广西,北海市,海城区,北海市中医院,北海市中医院,公立/综合医院,三级乙等
广西,北海市,海城区,北海市人民医院,北海市人民医院,公立/综合医院,三级甲等　　
广西,北海市,海城区,北海市华侨医院,北海市华侨医院,公立/综合医院,一级甲等
广西,北海市,海城区,北海市皮肤病防治院,北海市皮肤病防治院,公立/专科医院,二级乙等
广西,北海市,海城区,北海市第二人民医院,北海市第二人民医院,公立/综合医院,二级甲等
广西,北海市,海城区,北海港口医院,北海港口医院,公立/综合医院,二级甲等
广西,北海市,海城区,广西壮族自治区北海复退军人医院,广西壮族自治区北海复退军人医院,公立/综合医院,一级甲等
广西,北海市,海城区,海城区高德中心卫生院,海城区高德中心卫生院,公立/综合医院,未知
广西,北海市,海城区,海城区地角卫生院,海城区地角卫生院,公立/综合医院,未知
广西,北海市,海城区,海城区涠洲镇中心卫生院,海城区涠洲镇中心卫生院,公立/综合医院,未知
广西,北海市,海城区,海城区中街中山路社区卫生服务中心,海城区中街中山路社区卫生服务中心,其他/其他,未知
广西,北海市,海城区,北海安琪妇产医院,安琪医院,民营/专科医院,民营医院
