省,市,区,全名,别名,性质,等级
广西,北海市,合浦县,北海市合浦卫校附属医院,北海市合浦卫校附属医院,公立/综合医院,二级甲等
广西,北海市,合浦县,合浦县廉州镇中心卫生院,合浦县廉州镇中心卫生院,公立/综合医院,特级医院
广西,北海市,合浦县,合浦县山口中心卫生院,合浦县山口中心卫生院,公立/综合医院,未知
广西,北海市,合浦县,合浦县党江镇卫生院,合浦县党江镇卫生院,公立/综合医院,未知
广西,北海市,合浦县,合浦县常乐镇中心卫生院,合浦县常乐镇中心卫生院,公立/综合医院,未知
广西,北海市,合浦县,合浦县曲樟乡卫生院,合浦县曲樟乡卫生院,公立/综合医院,未知
广西,北海市,合浦县,合浦县闸口镇卫生院,合浦县闸口镇卫生院,公立/综合医院,未知
广西,北海市,合浦县,合浦县沙岗镇卫生院,合浦县沙岗镇卫生院,公立/综合医院,未知
广西,北海市,合浦县,合浦县白沙镇中心卫生院,合浦县白沙镇中心卫生院,公立/综合医院,未知
广西,北海市,合浦县,合浦现代医院,合浦现代医院,其他/综合医院,一级医院
广西,北海市,合浦县,合浦仁爱医院,合浦仁爱医院,民营/综合医院,一级医院
广西,北海市,合浦县,合浦卫生学校附属医院,合浦卫生学校附属医院,公立/综合医院,二级甲等
广西,北海市,合浦县,合浦县西场中心卫生院,合浦县西场中心卫生院,公立/综合医院,未知
广西,北海市,合浦县,合浦县石康中心卫生院,合浦县石康中心卫生院,公立/综合医院,未知
广西,北海市,合浦县,合浦县星岛湖乡卫生院,合浦县星岛湖乡卫生院,公立/综合医院,未知
广西,北海市,合浦县,合浦县乌家镇卫生院,合浦县乌家镇卫生院,公立/综合医院,未知
广西,北海市,合浦县,合浦县皮肤性病防治院,合浦县皮肤性病防治院,公立/综合医院,一级甲等
广西,北海市,合浦县,合浦县妇幼保健院,合浦县妇幼保健院,公立/综合医院,一级甲等
广西,北海市,合浦县,合浦县戒毒康复中心,合浦县戒毒康复中心,公立/综合医院,一级甲等
广西,北海市,合浦县,合浦县精神病医院,合浦县精神病医院,公立/综合医院,一级甲等
广西,北海市,合浦县,合浦县红十字会医院,合浦县红十字会医院,公立/综合医院,二级乙等
广西,北海市,合浦县,合浦县中医院,合浦县中医院,公立/综合医院,二级甲等
广西,北海市,合浦县,合浦县人民医院,合浦县人民医院,公立/综合医院,二级甲等
广西,北海市,合浦县,北海市合浦卫校附院,北海市合浦卫校附院,公立/综合医院,二级甲等
广西,北海市,合浦县,合浦县闸口镇卫生院,合浦县闸口镇卫生院,公立/综合医院,未知
广西,北海市,合浦县,合浦县石湾镇卫生院,合浦县石湾镇卫生院,公立/综合医院,未知
