省,市,区,全名,别名,性质,等级
广西,防城港市,防城区,防城港务局职工医院,防城港务局职工医院,公立/综合医院,一级甲等
广西,防城港市,防城区,防城港市防城区妇幼保健院,防城港市防城区妇幼保健院,公立/综合医院,一级甲等
广西,防城港市,防城区,防城港市防城区中医院,防城港市防城区中医院,公立/综合医院,未知
广西,防城港市,防城区,防城港市防城港区第二人民医院,防城港市防城港区第二人民医院,公立/综合医院,二级乙等
广西,防城港市,防城区,防城港区第二人民医院,防城港区第二人民医院,公立/综合医院,二级乙等
广西,防城港市,防城区,防城港市人民医院,防城港市人民医院,公立/综合医院,二级甲等
广西,防城港市,防城区,防城港市防城区第一人民医院,防城港市防城区第一人民医院,公立/综合医院,二级甲等
广西,防城港市,防城区,防城港市妇幼保健院,防城港市妇幼保健院,公立/综合医院,二级甲等
广西,防城港市,防城区,防城港市第一人民医院,防城港市第一人民医院,公立/综合医院,三级医院
广西,防城港市,防城区,防城港市防城区人民医院,防城港市防城区人民医院,公立/综合医院,二级甲等
广西,防城港市,防城区,防城港市防城区扶隆乡卫生院,防城港市防城区扶隆乡卫生院,公立/综合医院,未知
广西,防城港市,防城区,防城港市防城区茅岭镇卫生院,防城港市防城区茅岭镇卫生院,公立/综合医院,未知
广西,防城港市,防城区,防城港市防城区那良镇中心卫生院,防城港市防城区那良镇中心卫生院,公立/综合医院,未知
广西,防城港市,防城区,防城港市防城区江山镇卫生院,防城港市防城区江山镇卫生院,公立/综合医院,未知
广西,防城港市,防城区,防城港市防城区滩营乡卫生院,防城港市防城区滩营乡卫生院,公立/综合医院,未知
广西,防城港市,防城区,防城港市防城区华石镇卫生院,防城港市防城区华石镇卫生院,公立/综合医院,未知
广西,防城港市,防城区,防城港市防城区大兩镇中心卫生院,防城港市防城区大兩镇中心卫生院,公立/综合医院,未知
广西,防城港市,防城区,防城港市防城区峒中镇中心卫生院,防城港市防城区峒中镇中心卫生院,公立/综合医院,未知
广西,防城港市,防城区,防城港市中医医院,防城港市中医医院,公立/综合医院,三级甲等　　
