省,市,区,全名,别名,性质,等级
广西,钦州市,灵山县,灵山县人民医院城东医院,灵山县人民医院城东医院,公立/综合医院,一级甲等
广西,钦州市,灵山县,灵山铁路医院,灵山铁路医院,公立/综合医院,一级甲等
广西,钦州市,灵山县,灵山县皮肤病防治院,灵山县皮肤病防治院,公立/综合医院,一级甲等
广西,钦州市,灵山县,灵山县红十字会医院,灵山县红十字会医院,公立/综合医院,一级甲等
广西,钦州市,灵山县,灵山县妇幼保健院,灵山县妇幼保健院,公立/专科医院,二级甲等
广西,钦州市,灵山县,灵山县第二人民医院,灵山县第二人民医院,公立/综合医院,二级乙等
广西,钦州市,灵山县,灵山县中医院,灵山县中医院,公立/综合医院,二级甲等
广西,钦州市,灵山县,灵山县人民医院,钦州市灵山人民医院,公立/综合医院,二级甲等
广西,钦州市,灵山县,灵山县红十字会骨科医院,灵山县红十字会骨科医院,公立/专科医院,二级甲等
广西,钦州市,灵山县,灵山县疾病预防控制中心,灵山县疾病预防控制中心,公立/其他,未知
广西,钦州市,灵山县,灵山县文利镇卫生院,灵山县文利镇卫生院,公立/综合医院,未知
广西,钦州市,灵山县,灵山县平南镇大山塘卫生室,灵山县平南镇大山塘卫生室,其他/其他,未知
广西,钦州市,灵山县,灵山县平南镇石基村卫生室,灵山县平南镇石基村卫生室,其他/其他,未知
广西,钦州市,灵山县,灵山县平南镇杨梅卫生室,灵山县平南镇杨梅卫生室,其他/其他,未知
广西,钦州市,灵山县,灵山县平南镇鲁塘村卫生室,灵山县平南镇鲁塘村卫生室,其他/其他,未知
广西,钦州市,灵山县,灵山县平南镇北硖村卫生室,灵山县平南镇北硖村卫生室,其他/其他,未知
广西,钦州市,灵山县,灵山县平南镇勒菜村卫生室,灵山县平南镇勒菜村卫生室,其他/其他,未知
广西,钦州市,灵山县,灵山县平南镇大宾卫生室,灵山县平南镇大宾卫生室,其他/其他,未知
广西,钦州市,灵山县,灵山县平南镇古僚村卫生室,灵山县平南镇古僚村卫生室,其他/其他,未知
广西,钦州市,灵山县,灵山县平南镇金银村卫生室,灵山县平南镇金银村卫生室,其他/其他,未知
广西,钦州市,灵山县,灵山县平南镇岭平卫生室,灵山县平南镇岭平卫生室,其他/其他,未知
广西,钦州市,灵山县,灵山县平南镇卡马村卫生室,灵山县平南镇卡马村卫生室,其他/其他,未知
广西,钦州市,灵山县,灵山县平南镇新魁卫生室,灵山县平南镇新魁卫生室,其他/其他,未知
广西,钦州市,灵山县,灵山县平南镇桃禾卫生室,灵山县平南镇桃禾卫生室,其他/其他,未知
广西,钦州市,灵山县,灵山县平南镇大洋村卫生室,灵山县平南镇大洋村卫生室,其他/其他,未知
广西,钦州市,灵山县,灵山县平南镇白花村卫生室,灵山县平南镇白花村卫生室,其他/其他,未知
广西,钦州市,灵山县,灵山县太平镇中心卫生院,灵山县太平镇中心卫生院,其他/其他,未知
广西,钦州市,灵山县,灵山县平南镇平南村卫生室,灵山县平南镇平南村卫生室,其他/其他,未知
广西,钦州市,灵山县,灵山县平南镇塘肚村卫生室,灵山县平南镇塘肚村卫生室,其他/其他,未知
广西,钦州市,灵山县,灵山县伯劳镇卫生院,灵山县伯劳镇卫生院,公立/综合医院,未知
广西,钦州市,灵山县,灵山县灵城镇卫生院,灵山县灵城镇卫生院,公立/综合医院,未知
广西,钦州市,灵山县,灵山县檀圩镇中心卫生院,灵山县檀圩镇中心卫生院,公立/综合医院,未知
广西,钦州市,灵山县,灵山县佛子镇卫生院,灵山县佛子镇卫生院,公立/综合医院,未知
广西,钦州市,灵山县,灵山县石塘镇中心卫生院,灵山县石塘镇中心卫生院,公立/综合医院,未知
广西,钦州市,灵山县,灵山县陆屋镇中心卫生院,灵山县陆屋镇中心卫生院,公立/综合医院,未知
广西,钦州市,灵山县,灵山县旧州镇卫生院,灵山县旧州镇卫生院,公立/综合医院,未知
广西,钦州市,灵山县,灵山县武利镇中心卫生院,灵山县武利镇中心卫生院,公立/综合医院,未知
广西,钦州市,灵山县,灵山县三隆镇卫生院,灵山县三隆镇卫生院,公立/综合医院,未知
广西,钦州市,灵山县,灵山县那隆镇卫生院,灵山县那隆镇卫生院,公立/综合医院,未知
广西,钦州市,灵山县,灵山县烟墩镇卫生院,灵山县烟墩镇卫生院,公立/综合医院,未知
广西,钦州市,灵山县,灵山县沙坪镇中心卫生院,灵山县沙坪镇中心卫生院,公立/综合医院,未知
