省,市,区,全名,别名,性质,等级
广西,贵港市,港北区,贵港市西江农场医院,贵港市西江农场医院,公立/综合医院,一级甲等
广西,贵港市,港北区,贵港牡丹妇产医院,贵港牡丹妇产医院,其他/专科医院,未知
广西,贵港市,港北区,港北区南平社区卫生服务中心,港北区南平社区卫生服务中心,其他/其他,未知
广西,贵港市,港北区,港北区根竹镇卫生院,港北区根竹镇卫生院,公立/综合医院,未知
广西,贵港市,港北区,港北区武乐乡卫生院,港北区武乐乡卫生院,公立/综合医院,未知
广西,贵港市,港北区,港北区大圩镇中心卫生院,港北区大圩镇中心卫生院,公立/综合医院,未知
广西,贵港市,港北区,港北区妇幼保健院,港北区妇幼保健院,公立/综合医院,一级医院
广西,贵港市,港北区,港北区港城社区卫生服务中心,港北区港城社区卫生服务中心,其他/其他,未知
广西,贵港市,港北区,港北区人民医院,港北区人民医院,公立/综合医院,二级医院
广西,贵港市,港北区,贵港红房子妇产医院,贵港红房子妇产,民营/专科医院,未知
广西,贵港市,港北区,港北区中里乡中心卫生院,港北区中里乡中心卫生院,其他/综合医院,未知
广西,贵港市,港北区,贵港市港北区医院,贵港市港北区医院,公立/综合医院,二级甲等
广西,贵港市,港北区,贵港市中西医结合骨科医院,贵港市中西医结合骨科医院,合资/专科医院,三级甲等　　
广西,贵港市,港北区,贵港市人民医院,广西医科大学第八附属医院,公立/综合医院,三级甲等　　
