省,市,区,全名,别名,性质,等级
广西,贵港市,港南区,贵港市妇幼保健院,贵港市妇幼保健院,公立/综合医院,二级甲等
广西,贵港市,港南区,贵港市第二人民医院,贵港市第二人民医院,公立/综合医院,二级甲等
广西,贵港市,港南区,桥圩第一人民医院,桥圩第一人民医院,公立/综合医院,二级甲等
广西,贵港市,港南区,贵港市皮肤性病防治院,贵港市皮肤性病防治院,公立/专科医院,二级甲等
广西,贵港市,港南区,贵港市中医院,贵港市中医院,公立/综合医院,二级甲等
广西,贵港市,港南区,贵港市覃塘区人民医院,贵港市覃塘区人民医院,公立/综合医院,一级甲等
广西,贵港市,港南区,港南区湛江镇卫生院,港南区湛江镇卫生院,公立/综合医院,未知
广西,贵港市,港南区,港南区瓦塘乡思怀卫生院,港南区瓦塘乡思怀卫生院,公立/综合医院,未知
广西,贵港市,港南区,港南区木格镇中心卫生院,港南区木格镇中心卫生院,公立/综合医院,未知
广西,贵港市,港南区,港南区八塘镇中心卫生院,港南区八塘镇中心卫生院,公立/综合医院,未知
广西,贵港市,港南区,港南区瓦塘乡卫生院,港南区瓦塘乡卫生院,公立/综合医院,未知
广西,贵港市,港南区,港南区新塘镇卫生院,港南区新塘镇卫生院,公立/综合医院,未知
广西,贵港市,港南区,贵港市港南区东津镇中心卫生院,贵港市港南区东津镇中心卫生院,公立/综合医院,未知
广西,贵港市,港南区,港南区八塘镇横岭卫生院,港南区八塘镇横岭卫生院,公立/综合医院,特级医院
广西,贵港市,港南区,港南区木格镇平悦卫生院,港南区木格镇平悦卫生院,公立/综合医院,未知
