省,市,区,全名,别名,性质,等级
广西,贵港市,桂平市,广西西江农场医院,广西西江农场医院,公立/综合医院,一级甲等
广西,贵港市,桂平市,桂平市皮肤病防治院,桂平市皮肤病防治院,公立/综合医院,一级甲等
广西,贵港市,桂平市,桂平思宜乡上珠精神病医院,桂平上珠精神病医院,民营/专科医院,一级甲等
广西,贵港市,桂平市,桂平市妇幼保健院,桂平市妇幼保健院,公立/综合医院,一级甲等
广西,贵港市,桂平市,桂平市中医院,桂平市中医院,公立/综合医院,二级乙等
广西,贵港市,桂平市,桂平市人民医院,桂平市人民医院,公立/综合医院,二级甲等
广西,贵港市,桂平市,桂平市马皮乡卫生院,桂平市马皮乡卫生院,公立/综合医院,一级甲等
广西,贵港市,桂平市,玉林市疾病预防控制中心,玉林市疾病预防控制中心,公立/其他,未知
广西,贵港市,桂平市,桂平市下湾镇卫生院,桂平市下湾镇卫生院,公立/其他,未知
广西,贵港市,桂平市,桂平市社坡中心卫生院,桂平市社坡中心卫生院,公立/综合医院,未知
广西,贵港市,桂平市,桂平市木根镇卫生院,桂平市木根镇卫生院,公立/综合医院,未知
广西,贵港市,桂平市,桂平市木圭镇卫生院,桂平市木圭镇卫生院,公立/综合医院,未知
广西,贵港市,桂平市,桂平黎明医院,桂平黎明医院,民营/综合医院,未知
广西,贵港市,桂平市,桂平市白沙镇卫生院,桂平市白沙镇卫生院,公立/综合医院,未知
广西,贵港市,桂平市,桂平市石龙中心卫生院,桂平市石龙中心卫生院,公立/综合医院,未知
广西,贵港市,桂平市,桂平市城南社区卫生服务中心,桂平市城南社区卫生服务中心,公立/综合医院,未知
广西,贵港市,桂平市,桂平市垌心乡卫生院,桂平市垌心乡卫生院,公立/其他,未知
广西,贵港市,桂平市,桂平市社步镇卫生院,桂平市社步镇卫生院,公立/综合医院,未知
广西,贵港市,桂平市,桂平市厚禄乡卫生院,桂平市厚禄乡卫生院,公立/综合医院,未知
广西,贵港市,桂平市,桂平市江口中心卫生院,桂平市江口中心卫生院,公立/综合医院,未知
广西,贵港市,桂平市,桂平市大湾镇卫生院,桂平市大湾镇卫生院,公立/综合医院,未知
广西,贵港市,桂平市,桂平市城东社区卫生服务中心,桂平市城东社区卫生服务中心,其他/其他,未知
广西,贵港市,桂平市,桂平市罗秀中心卫生院,桂平市罗秀中心卫生院,公立/综合医院,未知
广西,贵港市,桂平市,桂平市大洋中心卫生院,桂平市大洋中心卫生院,公立/综合医院,未知
广西,贵港市,桂平市,桂平市木乐中心卫生院,桂平市木乐中心卫生院,公立/综合医院,未知
广西,贵港市,桂平市,桂平市油麻镇卫生院,桂平市油麻镇卫生院,公立/综合医院,未知
广西,贵港市,桂平市,桂平市南木镇卫生院,桂平市南木镇卫生院,公立/综合医院,未知
广西,贵港市,桂平市,桂平市中沙镇卫生院,桂平市中沙镇卫生院,公立/综合医院,未知
广西,贵港市,桂平市,桂平市石咀镇卫生院,桂平市石咀镇卫生院,公立/综合医院,未知
广西,贵港市,桂平市,桂平市罗播乡卫生院,桂平市罗播乡卫生院,公立/综合医院,未知
广西,贵港市,桂平市,桂平市麻垌中心卫生院,桂平市麻垌中心卫生院,公立/综合医院,未知
广西,贵港市,桂平市,桂平市江口镇胡村村卫生室,桂平市江口镇胡村村卫生室,其他/其他,未知
广西,贵港市,桂平市,桂平中山医院,桂平中山医院,公立/综合医院,未知
广西,贵港市,桂平市,桂平市蒙圩镇卫生院,桂平市蒙圩镇卫生院,公立/综合医院,未知
广西,贵港市,桂平市,桂平市紫荆镇卫生院,桂平市紫荆镇卫生院,公立/综合医院,未知
广西,贵港市,桂平市,桂平市寻旺乡卫生院,桂平市寻旺乡卫生院,公立/综合医院,未知
广西,贵港市,桂平市,桂平市西山镇卫生院,桂平市西山镇卫生院,公立/综合医院,未知
