省,市,区,全名,别名,性质,等级
广西,贵港市,平南县,平南友好精神病康复医院,友好医院,民营/专科医院,民营医院
广西,贵港市,平南县,平南县平南镇医院,平南县平南镇医院,公立/综合医院,一级甲等
广西,贵港市,平南县,平南县妇幼保健院,平南县妇幼保健院,公立/综合医院,一级甲等
广西,贵港市,平南县,平南县同安骨伤医院,平南县同安骨伤医院,民营/专科医院,未知
广西,贵港市,平南县,平南县传统医疗中心,平南县传统医疗中心,公立/综合医院,一级甲等
广西,贵港市,平南县,平南县疑难病防治中心,平南县疑难病防治中心,公立/综合医院,一级甲等
广西,贵港市,平南县,平南县中医院,平南县中医院,公立/综合医院,二级乙等
广西,贵港市,平南县,平南县第二人民医院,平南县第二人民医院,公立/综合医院,二级甲等
广西,贵港市,平南县,平南县人民医院,平南县人民医院,公立/综合医院,二级甲等
广西,贵港市,平南县,平南县红十字医院,平南县红十字医院,公立/综合医院,二级乙等
广西,贵港市,平南县,平南县平山镇六峡村卫生室,平南县平山镇六峡村卫生室,其他/其他,未知
广西,贵港市,平南县,平南县平山镇翰冲村卫生室,平南县平山镇翰冲村卫生室,其他/其他,未知
广西,贵港市,平南县,平南县平山镇南思村卫生室,平南县平山镇南思村卫生室,其他/其他,未知
广西,贵港市,平南县,平南县平山镇太平村卫生室,平南县平山镇太平村卫生室,其他/其他,未知
广西,贵港市,平南县,平南县平山镇榄垌村卫生室,平南县平山镇榄垌村卫生室,其他/其他,未知
广西,贵港市,平南县,平南县平山镇四灵村卫生室,平南县平山镇四灵村卫生室,其他/其他,未知
广西,贵港市,平南县,平南县平山镇荣路村卫生室,平南县平山镇荣路村卫生室,其他/其他,未知
广西,贵港市,平南县,平南县平山镇慈边村卫生室,平南县平山镇慈边村卫生室,其他/其他,未知
广西,贵港市,平南县,平南县六陈镇龙凤村卫生室,平南县六陈镇龙凤村卫生室,其他/其他,未知
广西,贵港市,平南县,平南县六陈镇古和村卫生室,平南县六陈镇古和村卫生室,其他/其他,未知
广西,贵港市,平南县,平南县六陈镇新百村卫生室,平南县六陈镇新百村卫生室,其他/其他,未知
广西,贵港市,平南县,平南县平山镇僚秀村卫生室,平南县平山镇僚秀村卫生室,其他/其他,未知
广西,贵港市,平南县,平南县平山镇古松村卫生室,平南县平山镇古松村卫生室,其他/其他,未知
广西,贵港市,平南县,平南县六陈镇新贵村卫生室,平南县六陈镇新贵村卫生室,其他/其他,未知
广西,贵港市,平南县,平南县大鹏镇卫生院,平南县大鹏镇卫生院,公立/综合医院,未知
广西,贵港市,平南县,平南县平山镇中心卫生院,平南县平山镇中心卫生院,公立/综合医院,未知
广西,贵港市,平南县,平南县丹竹镇赤马卫生院,平南县丹竹镇赤马卫生院,公立/综合医院,未知
广西,贵港市,平南县,平南县镇隆镇富藏卫生院,平南县镇隆镇富藏卫生院,公立/综合医院,未知
广西,贵港市,平南县,平南县思界乡卫生院,平南县思界乡卫生院,公立/综合医院,未知
广西,贵港市,平南县,平南县大洲镇卫生院,平南县大洲镇卫生院,公立/综合医院,未知
广西,贵港市,平南县,平南县上渡镇卫生院,平南县上渡镇卫生院,公立/综合医院,未知
广西,贵港市,平南县,平南县上渡镇大成卫生院,平南县上渡镇大成卫生院,公立/综合医院,未知
广西,贵港市,平南县,平南县镇隆镇中心卫生院,平南县镇隆镇中心卫生院,公立/综合医院,未知
广西,贵港市,平南县,平南县大坡镇卫生院,平南县大坡镇卫生院,公立/综合医院,未知
广西,贵港市,平南县,平南县安怀镇卫生院,平南县安怀镇卫生院,公立/综合医院,未知
广西,贵港市,平南县,平南县官成镇中心卫生院,平南县官成镇中心卫生院,公立/综合医院,未知
广西,贵港市,平南县,平南县思旺镇中心卫生院,平南县思旺镇中心卫生院,公立/综合医院,未知
广西,贵港市,平南县,平南县国安瑶族乡卫生院,平南县国安瑶族乡卫生院,公立/综合医院,未知
广西,贵港市,平南县,平南县丹竹镇中心卫生院,平南县丹竹镇中心卫生院,公立/综合医院,未知
广西,贵港市,平南县,平南县同和镇中心卫生院,平南县同和镇中心卫生院,公立/综合医院,未知
广西,贵港市,平南县,平南县寺面镇卫生院,平南县寺面镇卫生院,公立/综合医院,未知
广西,贵港市,平南县,平南县大新镇卫生院,平南县大新镇卫生院,公立/综合医院,未知
广西,贵港市,平南县,平南县武林镇卫生院,平南县武林镇卫生院,公立/综合医院,未知
