省,市,区,全名,别名,性质,等级
广西,玉林市,北流市,北流市卫生学校附属医院,北流市卫生学校附属医院,公立/综合医院,未知
广西,玉林市,北流市,北流市西山精神病医院,北流市西山精神病医院,公立/综合医院,一级甲等
广西,玉林市,北流市,北流市塘岸精神病医院,北流市塘岸精神病医院,公立/综合医院,一级甲等
广西,玉林市,北流市,北流市中医骨科医院,北流市中医骨科医院,公立/专科医院,一级甲等
广西,玉林市,北流市,北流市妇幼保健院,北流市妇幼保健院,公立/综合医院,二级乙等
广西,玉林市,北流市,北流市中医院,北流市中医院,公立/综合医院,二级甲等
广西,玉林市,北流市,北流市人民医院,北流市人民医院,公立/综合医院,二级甲等
广西,玉林市,北流市,北流市疾病预防控制中心,北流市疾病预防控制中心,公立/其他,未知
广西,玉林市,北流市,北流市大坡外镇大坡内村卫生所,北流市大坡外镇大坡内村卫生所,其他/其他,未知
广西,玉林市,北流市,北流市北流镇印塘村卫生分所,北流市北流镇印塘村卫生分所,其他/其他,未知
广西,玉林市,北流市,北流市北流镇凉水井村卫生分所,北流市北流镇凉水井村卫生分所,其他/其他,未知
广西,玉林市,北流市,北流市北流镇丛义村卫生所,北流市北流镇丛义村卫生所,其他/其他,未知
广西,玉林市,北流市,北流市白马镇中心卫生院,北流市白马镇中心卫生院,公立/综合医院,未知
广西,玉林市,北流市,北流市隆盛镇中心卫生院,北流市隆盛镇中心卫生院,公立/综合医院,未知
广西,玉林市,北流市,北流市新圩镇中心卫生院,北流市新圩镇中心卫生院,公立/综合医院,未知
广西,玉林市,北流市,北流市北流镇陵城卫生院,北流市北流镇陵城卫生院,公立/综合医院,未知
广西,玉林市,北流市,北流市北流镇龙安村卫生所,北流市北流镇龙安村卫生所,其他/其他,未知
广西,玉林市,北流市,北流市大坡外镇沙坡村卫生所,北流市大坡外镇沙坡村卫生所,其他/其他,未知
广西,玉林市,北流市,北流市大坡外镇古哿村卫生分所,北流市大坡外镇古哿村卫生分所,其他/其他,未知
广西,玉林市,北流市,北流市白马镇东塘村卫生分所,北流市白马镇东塘村卫生分所,公立/综合医院,未知
广西,玉林市,北流市,北流市白马镇黄龙村卫生分所,北流市白马镇黄龙村卫生分所,其他/其他,未知
广西,玉林市,北流市,北流市白马镇茶新村卫生分所,北流市白马镇茶新村卫生分所,其他/综合医院,未知
广西,玉林市,北流市,北流市白马镇根垌村卫生所,北流市白马镇根垌村卫生所,其他/其他,未知
广西,玉林市,北流市,北流市大坡外镇北容村卫生所,北流市大坡外镇北容村卫生所,其他/其他,未知
广西,玉林市,北流市,北流市大坡外镇古哿村卫生所,北流市大坡外镇古哿村卫生所,其他/其他,未知
广西,玉林市,北流市,北流市白马镇白马村卫生所,北流市白马镇白马村卫生所,其他/其他,未知
广西,玉林市,北流市,北流市白马镇金头村卫生分所,北流市白马镇金头村卫生分所,其他/其他,未知
广西,玉林市,北流市,北流市白马镇垌尾村卫生分所,北流市白马镇垌尾村卫生分所,其他/其他,未知
广西,玉林市,北流市,北流市白马镇黄龙村卫生所,北流市白马镇黄龙村卫生所,其他/其他,未知
广西,玉林市,北流市,北流市白马镇根垌村卫生分所,北流市白马镇根垌村卫生分所,其他/其他,未知
广西,玉林市,北流市,北流市北流镇甘村第二卫生分所,北流市北流镇甘村第二卫生分所,其他/其他,未知
