省,市,区,全名,别名,性质,等级
广西,玉林市,兴业县,兴业县妇幼保健院,兴业县妇幼保健院,公立/妇幼保健医院,未知
广西,玉林市,兴业县,兴业县蒲塘镇中心卫生院,兴业县蒲塘镇中心卫生院,公立/综合医院,未知
广西,玉林市,兴业县,兴业县城隍镇中心卫生院,兴业县城隍镇中心卫生院,公立/综合医院,未知
广西,玉林市,兴业县,兴业县葵阳镇中心卫生院,兴业县葵阳镇中心卫生院,公立/综合医院,未知
广西,玉林市,兴业县,兴业县龙安镇卫生院,兴业县龙安镇卫生院,公立/综合医院,未知
广西,玉林市,兴业县,兴业县大平山镇卫生院,兴业县大平山镇卫生院,公立/综合医院,未知
广西,玉林市,兴业县,兴业县人民医院,兴业县人民医院,公立/综合医院,二级甲等
广西,玉林市,兴业县,兴业县高峰镇卫生院,兴业县高峰镇卫生院,公立/综合医院,未知
广西,玉林市,兴业县,兴业县小平山镇中心卫生院,兴业县小平山镇中心卫生院,公立/综合医院,未知
广西,玉林市,兴业县,兴业县沙塘镇中心卫生院,兴业县沙塘镇中心卫生院,公立/综合医院,未知
广西,玉林市,兴业县,兴业县山心镇卫生院,兴业县山心镇卫生院,公立/综合医院,未知
