省,市,区,全名,别名,性质,等级
广西,百色市,田东县,田东县那拔镇卫生院,田东县那拔镇卫生院,公立/综合医院,未知
广西,百色市,田东县,田东县林逢镇祷午卫生院,田东县林逢镇祷午卫生院,公立/综合医院,未知
广西,百色市,田东县,田东县妇幼保健站,田东县妇幼保健站,公立/综合医院,一级甲等
广西,百色市,田东县,田东县人民医院,田东县人民医院,公立/综合医院,二级甲等
广西,百色市,田东县,田东县中医院,田东县中医院,公立/综合医院,二级甲等
广西,百色市,田东县,田东县祥周镇中心卫生院,田东县祥周镇中心卫生院,公立/综合医院,未知
广西,百色市,田东县,田东县思林中心卫生院,田东县思林中心卫生院,公立/综合医院,未知
广西,百色市,田东县,田东县思林镇坡塘卫生院,田东县思林镇坡塘卫生院,公立/综合医院,未知
广西,百色市,田东县,田东县平马镇卫生院,田东县平马镇卫生院,公立/综合医院,未知
广西,百色市,田东县,田东县祥周镇布兵卫生院,田东县祥周镇布兵卫生院,其他/综合医院,未知
广西,百色市,田东县,田东县林逢镇中心卫生院,田东县林逢镇中心卫生院,公立/综合医院,未知
广西,百色市,田东县,田东县义圩中心卫生院,田东县义圩中心卫生院,公立/综合医院,未知
广西,百色市,田东县,田东县朔良镇卫生院,田东县朔良镇卫生院,公立/综合医院,未知
广西,百色市,田东县,田东县江城镇卫生院,田东县江城镇卫生院,公立/综合医院,未知
广西,百色市,田东县,田东县作登瑶族乡卫生院,田东县作登瑶族乡卫生院,公立/综合医院,未知
