省,市,区,全名,别名,性质,等级
广西,百色市,凌云县,凌云县人民医院,凌云县人民医院,公立/综合医院,一级甲等
广西,百色市,凌云县,凌云县妇幼保健站,凌云县妇幼保健站,公立/综合医院,一级甲等
广西,百色市,凌云县,凌云县中医院,凌云县中医院,公立/综合医院,二级乙等
广西,百色市,凌云县,凌云县逻楼镇中心卫生院,凌云县逻楼镇中心卫生院,公立/综合医院,未知
广西,百色市,凌云县,凌云县伶站瑶族乡中心卫生院,凌云县伶站瑶族乡中心卫生院,公立/综合医院,未知
广西,百色市,凌云县,凌云县朝里乡卫生院,凌云县朝里乡卫生院,公立/综合医院,未知
广西,百色市,凌云县,凌云县玉洪乡卫生院,凌云县玉洪乡卫生院,公立/综合医院,未知
广西,百色市,凌云县,凌云县加尤镇中心卫生院,凌云县加尤镇中心卫生院,公立/综合医院,未知
广西,百色市,凌云县,凌云县下甲乡卫生院,凌云县下甲乡卫生院,公立/综合医院,未知
广西,百色市,凌云县,凌云县泗城镇卫生院,凌云县泗城镇卫生院,公立/综合医院,未知
广西,百色市,凌云县,凌云县沙里乡卫生院,凌云县沙里乡卫生院,公立/综合医院,未知
广西,百色市,凌云县,凌云县沙里乡阁楼村卫生室,凌云县沙里乡阁楼村卫生室,其他/其他,未知
广西,百色市,凌云县,凌云县沙里乡那仰村卫生室,凌云县沙里乡那仰村卫生室,其他/其他,未知
广西,百色市,凌云县,凌云县沙里乡那伏村卫生室,凌云县沙里乡那伏村卫生室,其他/其他,未知
广西,百色市,凌云县,凌云县沙里乡弄塘村卫生室,凌云县沙里乡弄塘村卫生室,其他/其他,未知
