省,市,区,全名,别名,性质,等级
广西,贺州市,八步区,贺州地区皮防院,贺州地区皮防院,公立/综合医院,一级甲等
广西,贺州市,八步区,贺州曙光男科医院,贺州曙光男科医院,民营/专科医院,民营医院
广西,贺州市,八步区,贺州荣顺男科中心,贺州荣顺男科中心,民营/专科医院,未知
广西,贺州市,八步区,贺州市人民医院,贺州市人民医院,公立/综合医院,二级甲等
广西,贺州市,八步区,贺州广济医院,贺州广济医院,其他/综合医院,三级医院
广西,贺州市,八步区,贺州市妇幼保健院,贺州市妇幼保健院,公立/专科医院,二级甲等
广西,贺州市,八步区,贺州市中医医院,贺州市急救中心,公立/综合医院,未知
广西,贺州市,八步区,八步区大宁镇中心卫生院,八步区大宁镇中心卫生院,公立/综合医院,未知
广西,贺州市,八步区,贺州市平桂管理区黄田卫生院,贺州市平桂管理区黄田卫生院,公立/综合医院,未知
广西,贺州市,八步区,大宁镇李屋村卫生所,大宁镇李屋村卫生所,其他/其他,未知
广西,贺州市,八步区,大宁镇公保村卫生所,大宁镇公保村卫生所,其他/其他,未知
广西,贺州市,八步区,八步区信都中心卫生院,八步区信都中心卫生院,公立/综合医院,未知
广西,贺州市,八步区,八步区开山卫生院,八步区开山卫生院,公立/综合医院,未知
广西,贺州市,八步区,八步区里松卫生院,八步区里松卫生院,公立/综合医院,未知
广西,贺州市,八步区,八步区莲塘卫生院,八步区莲塘卫生院,公立/综合医院,未知
广西,贺州市,八步区,八步区南乡卫生院,八步区南乡卫生院,公立/综合医院,未知
广西,贺州市,八步区,八步区铺门镇中心卫生院,八步区铺门镇中心卫生院,公立/综合医院,未知
广西,贺州市,八步区,八步区桂岭中心卫生院,八步区桂岭中心卫生院,公立/综合医院,未知
广西,贺州市,八步区,八步区灵峰卫生院,八步区灵峰卫生院,公立/综合医院,未知
广西,贺州市,八步区,八步区贺街中心卫生院,八步区贺街中心卫生院,公立/综合医院,未知
广西,贺州市,八步区,八步区步头卫生院,八步区步头卫生院,公立/综合医院,未知
广西,贺州市,八步区,八步区仁义卫生院,八步区仁义卫生院,公立/综合医院,未知
