省,市,区,全名,别名,性质,等级
广西,贺州市,钟山县,钟山县花山瑶族乡卫生院,钟山县花山瑶族乡卫生院,公立/综合医院,未知
广西,贺州市,钟山县,钟山县清塘中心卫生院,钟山县清塘中心卫生院,公立/综合医院,未知
广西,贺州市,钟山县,钟山县妇幼保健站,钟山县妇幼保健站,公立/综合医院,一级甲等
广西,贺州市,钟山县,钟山县中医院,钟山县中医院,公立/综合医院,一级甲等
广西,贺州市,钟山县,钟山县人民医院,钟山县人民医院,公立/综合医院,二级乙等
广西,贺州市,钟山县,钟山县公安中心卫生院,钟山县公安中心卫生院,公立/综合医院,未知
广西,贺州市,钟山县,钟山县石龙中心卫生院,钟山县石龙中心卫生院,公立/综合医院,未知
广西,贺州市,钟山县,钟山县燕塘镇卫生院,钟山县燕塘镇卫生院,公立/综合医院,未知
广西,贺州市,钟山县,钟山县珊瑚镇卫生院,钟山县珊瑚镇卫生院,公立/综合医院,未知
广西,贺州市,钟山县,钟山县钟山镇卫生院,钟山县钟山镇卫生院,公立/综合医院,未知
广西,贺州市,钟山县,钟山县两安瑶族乡卫生院,钟山县两安瑶族乡卫生院,其他/综合医院,未知
广西,贺州市,钟山县,钟山县红花镇中心卫生院,钟山县红花镇中心卫生院,公立/综合医院,未知
广西,贺州市,钟山县,钟山县凤翔镇卫生院,钟山县凤翔镇卫生院,公立/综合医院,未知
广西,贺州市,钟山县,钟山县回龙镇卫生院,钟山县回龙镇卫生院,公立/综合医院,未知
