省,市,区,全名,别名,性质,等级
广西,贺州市,富川县,富川县人民医院,富川县人民医院,公立/综合医院,一级甲等
广西,贺州市,富川县,富川瑶族自治县人民医院,富川瑶族自治县人民医院,公立/综合医院,一级甲等
广西,贺州市,富川县,富川县妇幼保健所,富川县妇幼保健所,公立/综合医院,一级甲等
广西,贺州市,富川县,富川瑶族自治县福利镇中心卫生院,富川瑶族自治县福利镇中心卫生院,公立/综合医院,未知
广西,贺州市,富川县,富川瑶族自治县白沙镇卫生院,富川瑶族自治县白沙镇卫生院,公立/综合医院,未知
广西,贺州市,富川县,富川瑶族自治县城北镇卫生院,富川瑶族自治县城北镇卫生院,公立/综合医院,未知
广西,贺州市,富川县,富川瑶族自治县富阳镇卫生院,富川瑶族自治县富阳镇卫生院,公立/综合医院,未知
广西,贺州市,富川县,富川瑶族自治县古城镇卫生院,富川瑶族自治县古城镇卫生院,公立/综合医院,未知
广西,贺州市,富川县,富川瑶族自治县莲山中心卫生院,富川瑶族自治县莲山中心卫生院,公立/综合医院,未知
广西,贺州市,富川县,富川瑶族自治县麦岭中心卫生院,富川瑶族自治县麦岭中心卫生院,公立/综合医院,未知
广西,贺州市,富川县,富川瑶族自治县朝东镇桐石村委卫生室,富川瑶族自治县朝东镇桐石村委卫生室,其他/其他,未知
广西,贺州市,富川县,富川瑶族自治县新华乡卫生院,富川瑶族自治县新华乡卫生院,公立/综合医院,未知
广西,贺州市,富川县,富川瑶族自治县朝东中心卫生院,富川瑶族自治县朝东中心卫生院,公立/综合医院,未知
广西,贺州市,富川县,富川瑶族自治县柳家乡卫生院,富川瑶族自治县柳家乡卫生院,公立/综合医院,未知
广西,贺州市,富川县,富川瑶族自治县葛坡镇卫生院,富川瑶族自治县葛坡镇卫生院,公立/综合医院,未知
广西,贺州市,富川县,富川瑶族自治县石家乡卫生院,富川瑶族自治县石家乡卫生院,公立/综合医院,未知
广西,贺州市,富川县,富川瑶族自治县妇幼保健院,富川瑶族自治县妇幼保健院,公立/综合医院,一级甲等
