省,市,区,全名,别名,性质,等级
广西,河池市,南丹县,南丹县妇幼保健院,南丹县妇幼保健院,公立/综合医院,一级甲等
广西,河池市,南丹县,南丹县人民医院,南丹县人民医院,公立/综合医院,二级乙等
广西,河池市,南丹县,南丹县中医院,南丹县中医院,公立/综合医院,二级甲等
广西,河池市,南丹县,南丹县疾病预防控制中心,南丹县疾病预防控制中心,公立/其他,未知
广西,河池市,南丹县,南丹县芒场镇卫生院,南丹县芒场镇卫生院,公立/综合医院,未知
广西,河池市,南丹县,南丹县吾隘镇卫生院,南丹县吾隘镇卫生院,公立/综合医院,未知
广西,河池市,南丹县,南丹县车河镇中心卫生院,南丹县车河镇中心卫生院,公立/综合医院,未知
广西,河池市,南丹县,南丹县里湖瑶族乡卫生院,南丹县里湖瑶族乡卫生院,公立/综合医院,未知
广西,河池市,南丹县,南丹县月里镇中心卫生院,南丹县月里镇中心卫生院,公立/综合医院,未知
广西,河池市,南丹县,南丹县城关镇卫生院,南丹县城关镇卫生院,公立/综合医院,未知
广西,河池市,南丹县,南丹县大厂镇卫生院,南丹县大厂镇卫生院,公立/综合医院,未知
广西,河池市,南丹县,南丹县罗富乡中心卫生院,南丹县罗富乡中心卫生院,公立/综合医院,未知
广西,河池市,南丹县,南丹县中堡苗族乡卫生院,南丹县中堡苗族乡卫生院,公立/综合医院,未知
广西,河池市,南丹县,南丹县八圩瑶族乡卫生院,南丹县八圩瑶族乡卫生院,公立/综合医院,未知
广西,河池市,南丹县,南丹县六寨镇中心卫生院,南丹县六寨镇中心卫生院,公立/综合医院,未知
广西,河池市,南丹县,南丹县大厂医院,南丹县大厂医院,公立/综合医院,二级甲等
