省,市,区,全名,别名,性质,等级
广西,河池市,天峨县,天峨县妇幼保健院,天峨县妇幼保健院,公立/综合医院,一级甲等
广西,河池市,天峨县,天峨县人民医院,天峨县人民医院,公立/综合医院,二级甲等
广西,河池市,天峨县,天峨县三堡乡卫生院,天峨县三堡乡卫生院,公立/综合医院,未知
广西,河池市,天峨县,天峨县坡结乡卫生院,天峨县坡结乡卫生院,公立/综合医院,未知
广西,河池市,天峨县,天峨县下老乡卫生院,天峨县下老乡卫生院,公立/综合医院,未知
广西,河池市,天峨县,天峨县纳直乡卫生院,天峨县纳直乡卫生院,公立/综合医院,未知
广西,河池市,天峨县,天峨县八腊瑶族乡老鹏卫生院,天峨县八腊瑶族乡老鹏卫生院,公立/综合医院,未知
广西,河池市,天峨县,天峨县八腊瑶族乡纳碍卫生院,天峨县八腊瑶族乡纳碍卫生院,公立/综合医院,未知
广西,河池市,天峨县,天峨县岜暮乡卫生院,天峨县岜暮乡卫生院,公立/综合医院,未知
广西,河池市,天峨县,天峨县八腊乡中心卫生院,天峨县八腊乡中心卫生院,公立/综合医院,未知
广西,河池市,天峨县,天峨县更新乡中心卫生院,天峨县更新乡中心卫生院,公立/综合医院,未知
广西,河池市,天峨县,天峨县向阳镇中心卫生院,天峨县向阳镇中心卫生院,公立/综合医院,未知
