省,市,区,全名,别名,性质,等级
广西,河池市,巴马县,巴马瑶族自治县人民医院,巴马瑶族自治县人民医院,公立/综合医院,一级甲等
广西,河池市,巴马县,巴马瑶族自治县民族医院,巴马瑶族自治县民族医院,公立/综合医院,一级甲等
广西,河池市,巴马县,巴马县人民医院,巴马县人民医院,公立/综合医院,一级甲等
广西,河池市,巴马县,巴马县东山乡卫生院,巴马县东山乡卫生院,公立/综合医院,未知
广西,河池市,巴马县,巴马县西山乡中心卫生院,巴马县西山乡中心卫生院,公立/综合医院,未知
广西,河池市,巴马县,巴马县巴马镇卫生院,巴马县巴马镇卫生院,公立/综合医院,未知
广西,河池市,巴马县,巴马县凤凰乡卫生院,巴马县凤凰乡卫生院,公立/综合医院,未知
广西,河池市,巴马县,巴马县那社乡卫生院,巴马县那社乡卫生院,公立/综合医院,未知
广西,河池市,巴马县,巴马县所略中心卫生院,巴马县所略中心卫生院,公立/综合医院,未知
广西,河池市,巴马县,巴马县百林乡卫生院,巴马县百林乡卫生院,公立/综合医院,未知
广西,河池市,巴马县,巴马县燕洞乡卫生院,巴马县燕洞乡卫生院,公立/综合医院,未知
广西,河池市,巴马县,巴马县那社乡那勤村卫生室,巴马县那社乡那勤村卫生室,其他/其他,未知
广西,河池市,巴马县,巴马县东山乡弄漠村卫生室,巴马县东山乡弄漠村卫生室,其他/其他,未知
