省,市,区,全名,别名,性质,等级
广西,河池市,罗城县,罗城仫佬族自治县妇幼保健院,罗城仫佬族自治县妇幼保健院,公立/综合医院,一级甲等
广西,河池市,罗城县,罗城县民族医院,罗城县永乐街,公立/综合医院,一级甲等
广西,河池市,罗城县,罗城矿务局医院,罗城矿务局医院,公立/综合医院,一级甲等
广西,河池市,罗城县,罗城县人民医院,罗城县人民医院,公立/综合医院,一级甲等
广西,河池市,罗城县,罗城仫佬族自治县人民医院,罗城仫佬族自治县人民医院,公立/综合医院,一级甲等
广西,河池市,罗城县,罗城县中医院,罗城县中医院,公立/综合医院,一级甲等
广西,河池市,罗城县,罗城仫佬族自治县怀群镇中心卫生院,罗城仫佬族自治县怀群镇中心卫生院,公立/综合医院,未知
广西,河池市,罗城县,罗城仫佬族自治县东门镇卫生院,罗城仫佬族自治县东门镇卫生院,公立/综合医院,未知
广西,河池市,罗城县,罗城仫佬族自治县四把镇下里卫生院,罗城仫佬族自治县四把镇下里卫生院,公立/综合医院,未知
广西,河池市,罗城县,罗城仫佬族自治县小长安镇卫生院,罗城仫佬族自治县小长安镇卫生院,公立/综合医院,未知
广西,河池市,罗城县,罗城仫佬族自治县龙岸镇中心卫生院,罗城仫佬族自治县龙岸镇中心卫生院,公立/综合医院,未知
广西,河池市,罗城县,罗城仫佬族自治县乔善乡中心卫生院,罗城仫佬族自治县乔善乡中心卫生院,公立/综合医院,未知
广西,河池市,罗城县,罗城仫佬族自治县宝坛乡拉郎村卫生室,罗城仫佬族自治县宝坛乡拉郎村卫生室,其他/其他,未知
广西,河池市,罗城县,罗城仫佬族自治县宝坛乡平英村卫生室,罗城仫佬族自治县宝坛乡平英村卫生室,其他/其他,未知
广西,河池市,罗城县,罗城仫佬族自治县宝坛乡五地村卫生室,罗城仫佬族自治县宝坛乡五地村卫生室,其他/其他,未知
广西,河池市,罗城县,罗城仫佬族自治县宝坛乡庄洞村卫生室,罗城仫佬族自治县宝坛乡庄洞村卫生室,其他/其他,未知
广西,河池市,罗城县,罗城仫佬族自治县宝坛乡四堡村卫生室,罗城仫佬族自治县宝坛乡四堡村卫生室,其他/其他,未知
广西,河池市,罗城县,罗城仫佬族自治县宝坛乡寨岑村卫生室,罗城仫佬族自治县宝坛乡寨岑村卫生室,其他/其他,未知
广西,河池市,罗城县,罗城县宝坛乡西华村卫生室,罗城县宝坛乡西华村卫生室,其他/其他,未知
广西,河池市,罗城县,罗城仫佬族自治县黄金镇卫生院,罗城仫佬族自治县黄金镇卫生院,公立/综合医院,未知
广西,河池市,罗城县,罗城仫佬族自治县宝坛乡卫生院,罗城仫佬族自治县宝坛乡卫生院,公立/综合医院,未知
广西,河池市,罗城县,罗城仫佬族自治县四把镇中心卫生院,罗城仫佬族自治县四把镇中心卫生院,公立/综合医院,未知
广西,河池市,罗城县,罗城仫佬族自治县纳翁乡卫生院,罗城仫佬族自治县纳翁乡卫生院,公立/综合医院,未知
