省,市,区,全名,别名,性质,等级
广西,来宾市,兴宾区,来宾县中医院,来宾县中医院,公立/综合医院,一级甲等
广西,来宾市,兴宾区,兴宾区石牙乡卫生院,兴宾区石牙乡卫生院,公立/综合医院,未知
广西,来宾市,兴宾区,兴宾区红河卫生院,兴宾区红河卫生院,公立/综合医院,未知
广西,来宾市,兴宾区,兴宾区城厢镇卫生院,兴宾区城厢镇卫生院,公立/综合医院,未知
广西,来宾市,兴宾区,兴宾区七洞乡卫生院,兴宾区七洞乡卫生院,公立/综合医院,未知
广西,来宾市,兴宾区,兴宾区桥巩镇卫生院,兴宾区桥巩镇卫生院,公立/综合医院,未知
广西,来宾市,兴宾区,兴宾区五山乡卫生院,兴宾区五山乡卫生院,公立/综合医院,未知
广西,来宾市,兴宾区,兴宾区平阳镇卫生院,兴宾区平阳镇卫生院,公立/综合医院,未知
广西,来宾市,兴宾区,兴宾区寺山镇中心卫生院,兴宾区寺山镇中心卫生院,公立/综合医院,未知
广西,来宾市,兴宾区,兴宾区蒙村镇中心卫生院,兴宾区蒙村镇中心卫生院,公立/综合医院,未知
广西,来宾市,兴宾区,兴宾区大湾镇中心卫生院,兴宾区大湾镇中心卫生院,公立/综合医院,未知
广西,来宾市,兴宾区,兴宾区石陵镇中心卫生院,兴宾区石陵镇中心卫生院,公立/综合医院,未知
广西,来宾市,兴宾区,兴宾区迁江镇中心卫生院,兴宾区迁江镇中心卫生院,公立/综合医院,未知
广西,来宾市,兴宾区,兴宾区小平阳镇中心卫生院,兴宾区小平阳镇中心卫生院,公立/综合医院,未知
广西,来宾市,兴宾区,兴宾区正龙乡卫生院,兴宾区正龙乡卫生院,公立/综合医院,未知
广西,来宾市,兴宾区,兴宾区城东街道街道办事处城中社区卫生服务中心,兴宾区城东街道街道办事处城中社区卫生服务中心,其他/其他,未知
广西,来宾市,兴宾区,兴宾区城东街道办事处城南社区卫生服务中心,兴宾区城东街道办事处城南社区卫生服务中心,其他/其他,未知
广西,来宾市,兴宾区,兴宾区迁江镇大里卫生院,兴宾区迁江镇大里卫生院,公立/综合医院,未知
广西,来宾市,兴宾区,兴宾区迁江华侨卫生院,兴宾区迁江华侨卫生院,公立/综合医院,未知
广西,来宾市,兴宾区,兴宾区凤凰镇北五卫生院,兴宾区凤凰镇北五卫生院,公立/综合医院,未知
广西,来宾市,兴宾区,兴宾区凤凰镇卫生院,兴宾区凤凰镇卫生院,公立/综合医院,未知
广西,来宾市,兴宾区,兴宾区高安乡卫生院,兴宾区高安乡卫生院,公立/综合医院,未知
广西,来宾市,兴宾区,兴宾区南泗乡卫生院,兴宾区南泗乡卫生院,公立/综合医院,未知
广西,来宾市,兴宾区,兴宾区河西街道办事处社区卫生服务中心,兴宾区河西街道办事处社区卫生服务中心,其他/其他,未知
广西,来宾市,兴宾区,来宾市中西医结合医院,来宾市中西医结合医院,公立/综合医院,一级甲等
广西,来宾市,兴宾区,来宾市第二人民医院,来宾市精神病医院,公立/专科医院,一级甲等
广西,来宾市,兴宾区,来宾市兴宾区八一医院,来宾市兴宾区八一医院,公立/综合医院,二级乙等
广西,来宾市,兴宾区,兴宾区陶邓乡卫生院,兴宾区陶邓乡卫生院,公立/综合医院,未知
广西,来宾市,兴宾区,兴宾区良塘乡中心卫生院,兴宾区良塘乡中心卫生院,公立/综合医院,未知
广西,来宾市,兴宾区,来宾市卫校附院,来宾市卫校附院,公立/综合医院,一级甲等
广西,来宾市,兴宾区,来宾市妇幼保健院,来宾市妇幼保健院,公立/专科医院,一级甲等
广西,来宾市,兴宾区,来宾市中医院,来宾市中医院,公立/综合医院,二级甲等
广西,来宾市,兴宾区,来宾市人民医院,来宾市人民医院,公立/综合医院,二级甲等
广西,来宾市,兴宾区,来宾县妇幼保健站,来宾县妇幼保健站,公立/综合医院,一级甲等
