省,市,区,全名,别名,性质,等级
广西,来宾市,合山市,合山东矿医院,合山东矿医院,公立/综合医院,一级甲等
广西,来宾市,合山市,合山市妇幼保健院,合山市妇幼保健院,公立/综合医院,一级甲等
广西,来宾市,合山市,合山市人民医院,合山市人民医院,公立/综合医院,二级甲等
广西,来宾市,合山市,合山矿务局总医院,合山矿务局总医院,公立/综合医院,二级甲等
广西,来宾市,合山市,合山市中医院,合山市中医院,公立/综合医院,二级甲等
广西,来宾市,合山市,合山市岭南镇卫生院,合山市岭南镇卫生院,其他/其他,未知
广西,来宾市,合山市,合山市岭南镇古樟村卫生所吴理英医疗点,合山市岭南镇古樟村卫生所吴理英医疗点,其他/其他,未知
广西,来宾市,合山市,合山市岭南镇里兰村卫生所蒙虹桦医疗点,合山市岭南镇里兰村卫生所蒙虹桦医疗点,其他/其他,未知
广西,来宾市,合山市,合山市岭南镇思光村卫生所兰云锋医疗点,合山市岭南镇思光村卫生所兰云锋医疗点,其他/其他,未知
广西,来宾市,合山市,合山市岭南镇溯河村卫生所,合山市岭南镇溯河村卫生所,其他/其他,未知
广西,来宾市,合山市,合山市岭南镇思光村卫生所韦荣美医疗点,合山市岭南镇思光村卫生所韦荣美医疗点,其他/其他,未知
广西,来宾市,合山市,合山市岭南镇古城村卫生所童玉兰医疗点,合山市岭南镇古城村卫生所童玉兰医疗点,其他/其他,未知
广西,来宾市,合山市,合山市岭南镇岭南村卫生所,合山市岭南镇岭南村卫生所,其他/其他,未知
广西,来宾市,合山市,合山市柳花岭社区卫生服务站,合山市柳花岭社区卫生服务站,其他/其他,未知
