省,市,区,全名,别名,性质,等级
广西,来宾市,象州县,象州县百丈乡卫生院,象州县百丈乡卫生院,其他/其他,未知
广西,来宾市,象州县,象州县马坪镇卫生院,象州县马坪镇卫生院,公立/综合医院,未知
广西,来宾市,象州县,象州县妙皇乡卫生院,象州县妙皇乡卫生院,公立/综合医院,未知
广西,来宾市,象州县,象州县运江镇卫生院,象州县运江镇卫生院,公立/综合医院,未知
广西,来宾市,象州县,象州县大乐镇卫生院,象州县大乐镇卫生院,公立/综合医院,未知
广西,来宾市,象州县,象州县石龙镇中心卫生院,象州县石龙镇中心卫生院,公立/综合医院,未知
广西,来宾市,象州县,象州县寺村镇中心卫生院,象州县寺村镇中心卫生院,公立/综合医院,未知
广西,来宾市,象州县,象州县中平中心卫生院,象州县中平中心卫生院,公立/综合医院,未知
广西,来宾市,象州县,象州县罗秀中心卫生院,象州县罗秀中心卫生院,公立/综合医院,未知
广西,来宾市,象州县,象州县妇幼保健站,象州县妇幼保健站,公立/综合医院,一级甲等
广西,来宾市,象州县,象州县中医院,象州县中医院,公立/综合医院,一级甲等
广西,来宾市,象州县,象州县人民医院,象州县人民医院,公立/综合医院,二级甲等
