省,市,区,全名,别名,性质,等级
广西,来宾市,忻城县,忻城县思练镇中心卫生院,忻城县思练镇中心卫生院,公立/综合医院,未知
广西,来宾市,忻城县,忻城县遂意乡中心卫生院,忻城县遂意乡中心卫生院,公立/综合医院,未知
广西,来宾市,忻城县,忻城县欧洞乡卫生院,忻城县欧洞乡卫生院,公立/综合医院,未知
广西,来宾市,忻城县,忻城县城关镇卫生院,忻城县城关镇卫生院,公立/综合医院,未知
广西,来宾市,忻城县,忻城县马泗乡卫生院,忻城县马泗乡卫生院,公立/综合医院,未知
广西,来宾市,忻城县,忻城县大塘中心卫生院,忻城县大塘中心卫生院,公立/综合医院,未知
广西,来宾市,忻城县,忻城县古蓬中心卫生院,忻城县古蓬中心卫生院,公立/综合医院,未知
广西,来宾市,忻城县,忻城县北更乡卫生院,忻城县北更乡卫生院,公立/综合医院,未知
广西,来宾市,忻城县,忻城县红渡镇卫生院,忻城县红渡镇卫生院,公立/综合医院,未知
广西,来宾市,忻城县,忻城县新圩乡卫生院,忻城县新圩乡卫生院,公立/综合医院,未知
广西,来宾市,忻城县,忻城县中医院,龙马医院,公立/综合医院,二级甲等
广西,来宾市,忻城县,忻城县人民医院,忻城县人民医院,公立/综合医院,二级甲等
广西,来宾市,忻城县,忻城县果遂乡卫生院,忻城县果遂乡卫生院,公立/综合医院,未知
