省,市,区,全名,别名,性质,等级
广西,崇左市,扶绥县,扶绥县中西医结合医院,扶绥县中西医结合医院,公立/综合医院,一级甲等
广西,崇左市,扶绥县,扶绥县妇幼保健院,扶绥县妇幼保健院,公立/综合医院,一级甲等
广西,崇左市,扶绥县,扶绥县中医院,扶绥县中医院,公立/综合医院,二级甲等
广西,崇左市,扶绥县,扶绥县人民医院,扶绥县人民医院,公立/综合医院,二级甲等
广西,崇左市,扶绥县,扶绥县疾病预防控制中心,扶绥县疾病预防控制中心,公立/其他,未知
广西,崇左市,扶绥县,广西东罗矿务局职工医院,广西东罗矿务局职工医院,公立/综合医院,一级甲等
广西,崇左市,扶绥县,扶绥县渠旧镇卫生院,扶绥县渠旧镇卫生院,公立/综合医院,未知
广西,崇左市,扶绥县,扶绥县东罗中心卫生院,扶绥县东罗中心卫生院,公立/综合医院,未知
广西,崇左市,扶绥县,扶绥县山圩镇卫生院,扶绥县山圩镇卫生院,公立/综合医院,未知
广西,崇左市,扶绥县,扶绥县渠黎镇卫生院,扶绥县渠黎镇卫生院,公立/综合医院,未知
广西,崇左市,扶绥县,扶绥县岜盆乡卫生院,扶绥县岜盆乡卫生院,公立/综合医院,未知
广西,崇左市,扶绥县,扶绥县昌平乡中心卫生院,扶绥县昌平乡中心卫生院,公立/综合医院,未知
广西,崇左市,扶绥县,扶绥县东罗镇卫生院,扶绥县东罗镇卫生院,公立/综合医院,未知
广西,崇左市,扶绥县,扶绥县柳桥镇卫生院,扶绥县柳桥镇卫生院,公立/综合医院,未知
广西,崇左市,扶绥县,扶绥县西长卫生院,扶绥县西长卫生院,公立/综合医院,未知
广西,崇左市,扶绥县,扶绥县中东镇中心卫生院,扶绥县中东镇中心卫生院,公立/综合医院,未知
