省,市,区,全名,别名,性质,等级
广西,崇左市,大新县,大新铅锌矿职工医院,大新铅锌矿职工医院,公立/综合医院,一级甲等
广西,崇左市,大新县,大新县妇幼保健院,大新县妇幼保健院,公立/综合医院,一级甲等
广西,崇左市,大新县,大新县中医院,大新县中医院,公立/综合医院,一级甲等
广西,崇左市,大新县,大新县民族医院,大新县民族医院,公立/综合医院,一级甲等
广西,崇左市,大新县,大新县人民医院,大新县人民医院,公立/综合医院,二级乙等
广西,崇左市,大新县,大新县硕龙镇卫生院,大新县硕龙镇卫生院,公立/综合医院,未知
广西,崇左市,大新县,大新县龙门乡卫生院,大新县龙门乡卫生院,公立/综合医院,未知
广西,崇左市,大新县,广西大新锰矿职工医院,广西大新锰矿职工医院,民营/综合医院,一级甲等
广西,崇左市,大新县,大新县下雷中心卫生院,大新县下雷中心卫生院,公立/综合医院,未知
广西,崇左市,大新县,大新县桃城镇第一卫生院,大新县桃城镇第一卫生院,公立/综合医院,未知
广西,崇左市,大新县,大新县桃城镇第二卫生院,大新县桃城镇第二卫生院,公立/综合医院,未知
广西,崇左市,大新县,大新县下雷镇土湖卫生院,大新县下雷镇土湖卫生院,公立/综合医院,未知
广西,崇左市,大新县,大新县福隆乡卫生院,大新县福隆乡卫生院,其他/其他,未知
广西,崇左市,大新县,大新县堪圩乡卫生院,大新县堪圩乡卫生院,公立/综合医院,未知
广西,崇左市,大新县,大新县宝圩乡卫生院,大新县宝圩乡卫生院,公立/综合医院,未知
广西,崇左市,大新县,大新县雷平镇振兴卫生院,大新县雷平镇振兴卫生院,公立/综合医院,未知
广西,崇左市,大新县,大新县榄圩乡中心卫生院,大新县榄圩乡中心卫生院,其他/其他,未知
广西,崇左市,大新县,大新县恩城乡卫生院,大新县恩城乡卫生院,公立/综合医院,未知
广西,崇左市,大新县,大新县那岭乡卫生院,大新县那岭乡卫生院,公立/综合医院,未知
