省,市,区,全名,别名,性质,等级
海南省,海口市,秀英区,海南省骨科医院,海南省骨科医院,个体户/综合医院,一级甲等
海南省,海口市,秀英区,海口市秀英区海滨社区卫生服务站,海滨社区卫生服务站,公立/综合医院,一级甲等
海南省,海口市,秀英区,海南杏林肛肠医院,杏林医院,民营/专科医院,民营医院
海南省,海口市,秀英区,海南中医药研究所附属琼岛医院,琼岛男科医院,民营/综合医院,民营医院
海南省,海口市,秀英区,海南妇产科医院,海南妇产科医院,民营/综合医院,未知
海南省,海口市,秀英区,海南医疗康复中心,海南医疗康复中心,合资/专科医院,未知
海南省,海口市,秀英区,海南省海口港集团公司海港医院,海南省海口港集团公司海港医院,公立/综合医院,二级甲等
海南省,海口市,秀英区,海南省人民医院,海南省人民医院,公立/综合医院,三级甲等　　
海南省,海口市,秀英区,海南省农垦总局医院,海南省工人医院,公立/综合医院,三级甲等　　
海南省,海口市,秀英区,海南省心血管病医院,海南省心血管病医院,公立/专科医院,未知
海南省,海口市,秀英区,省计划生育生殖医学中心,省计划生育生殖医学中心,合资/专科医院,未知
海南省,海口市,秀英区,意美综合医疗门诊部,意美综合医疗门诊部,合资/综合医院,未知
海南省,海口市,秀英区,海秀乡卫生院,海秀乡卫生院,公立/综合医院,一级乙等
海南省,海口市,秀英区,秀英社区卫生服务站,秀英社区卫生服务站,个体户/综合医院,未知
海南省,海口市,秀英区,海口广安医疗综合门诊部,海口广安医疗综合门诊部,个体户/综合医院,未知
海南省,海口市,秀英区,海南南方中西医结合医院,海南南方中西医结合医院,个体户/综合医院,一级甲等
海南省,海口市,秀英区,海口市长流中心卫生院,海口市长流中心卫生院,个体户/综合医院,一级甲等
海南省,海口市,秀英区,海口市中医院,海口市中医院,公立/综合医院,二级甲等
海南省,海口市,秀英区,海口市秀英区妇幼保健站,海口市秀英区妇幼保健站,公立/综合医院,二级甲等
海南省,海口市,秀英区,石山镇美安卫生院,石山镇美安卫生院,其他/其他,未知
海南省,海口市,秀英区,永兴卫生院,永兴卫生院,其他/其他,未知
海南省,海口市,秀英区,秀英区石山卫生院,秀英区石山卫生院,其他/其他,未知
海南省,海口市,秀英区,秀华社区卫生服务站,秀华社区卫生服务站,其他/其他,未知
海南省,海口市,秀英区,秀英区东山卫生院,秀英区东山卫生院,其他/其他,未知
海南省,海口市,秀英区,秀英区西秀卫生院,秀英区西秀卫生院,其他/其他,未知
海南省,海口市,秀英区,东方洋社区卫生服务站,东方洋社区卫生服务站,其他/其他,未知
海南省,海口市,秀英区,海口市秀英区计生服务指导中心,海口市秀英区计生服务指导中心,其他/其他,未知
海南省,海口市,秀英区,秀英区疾病预防控制中心,秀英区疾病预防控制中心,其他/其他,未知
海南省,海口市,秀英区,东山镇卫生院,东山镇卫生院,其他/其他,未知
海南省,海口市,秀英区,石山镇卫生院,石山镇卫生院,其他/其他,未知
海南省,海口市,秀英区,海口市秀英区新海乡卫生院,海口市秀英区新海乡卫生院,其他/其他,未知
海南省,海口市,秀英区,海南省皮肤性病防治中心秀英门诊部,海南省皮肤性病防治中心秀英门诊部,其他/其他,未知
海南省,海口市,秀英区,海南省肿瘤医院,海南省肿瘤医院,其他/其他,未知
海南省,海口市,秀英区,海口市皮肤性病疗养所海秀门诊,海口市皮肤性病疗养所海秀门诊,其他/门诊,未知
海南省,海口市,秀英区,海南省卫生厅临床检验中心,海南省卫生厅临床检验中心,其他/其他,未知
海南省,海口市,秀英区,海口市秀英区西秀镇卫生院,海口市秀英区西秀镇卫生院,公立/综合医院,未知
海南省,海口市,秀英区,海口市秀英区海秀卫生院,海口市秀英区海秀卫生院,其他/其他,未知
海南省,海口市,秀英区,海南省血液中心,海南省血液中心,其他/其他,未知
海南省,海口市,秀英区,海口市秀英区秀英社区卫生服务站,海口市秀英区秀英社区卫生服务站,民营/综合医院,一级甲等
海南省,海口市,秀英区,秀英区海秀乡卫生院,秀英区海秀乡卫生院,民营/综合医院,一级甲等
海南省,海口市,秀英区,海南省军区医院,海南省军区医院,公立/综合医院,一级甲等
海南省,海口市,秀英区,海南187男科医院,海南187男科医院,公立/综合医院,三级甲等　　
海南省,海口市,秀英区,海南187口腔医院,解放军第一八七医院,公立/综合医院,未知
海南省,海口市,秀英区,海南187口腔医院,海南187口腔医院,公立/综合医院,三级甲等　　
